sent-id,disj_count,min_dep_length,conj_count,mean_dep_length,token_count,verb_count,max_dep_length,class_score,flesh_reading_ease,is_sent,big_np_count,big_pp_count,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized
29697,0,1,0,4.0,21,3,15,1.0,89.08,1,1,0,mainstream,Es hat die 2 englischen Wörter: • Main (heißt auf Deutsch Haupt  damit sind viele Menschen gemeint),6_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2016-05-30T16:05:05Z,48f66906899cc4a9477b6c9e32ff4424,0:=Es 1:=hat 2:=die 3:=2 4:=englischen 5:=Wörter: 6:=• 7:=Main 8:=(heißt 9:=auf 10:=Deutsch 11:=Haupt 12:= 13:=damit 14:=sind 15:=viele 16:=Menschen 17:=gemeint)
9872,0,1,0,3.9,11,2,8,1.0,69.79,1,0,0,datenschutz-grundverordnung,Länder die sich nicht an die DSGVO halten bekommen Strafen.,12_long,Recht_und_Gesetz,2018-06-04T15:22:46Z,48f66906899cc4a9477b6c9e32ff4424,0:=Länder 1:=die 2:=sich 3:=nicht 4:=an 5:=die 6:=DSGVO 7:=halten 8:=bekommen 9:=Strafen.
9873,0,1,0,3.38,14,1,11,1.0,82.81,1,0,0,datenschutz-grundverordnung,Die Strafe kann bis zu 20 Millionen Euro (20.000.000 Euro) kosten.,13_long,Recht_und_Gesetz,2018-06-04T15:22:46Z,48f66906899cc4a9477b6c9e32ff4424,0:=Die 1:=Strafe 2:=kann 3:=bis 4:=zu 5:=20 6:=Millionen 7:=Euro 8:=(20.000.000 9:=Euro) 10:=kosten.
29677,0,1,0,3.73,12,1,10,1.0,102.61,1,0,1,mahatma-gandhi,Er hat für die Rechte und die Befreiung seines Volkes gekämpft.,4_short,Personen|Geschichte|Hurraki:Überarbeiten,2016-01-24T14:10:25Z,ab8e1e48a3f3355687558d8cb4fd204d,0:=Er 1:=hat 2:=für 3:=die 4:=Rechte 5:=und 6:=die 7:=Befreiung 8:=seines 9:=Volkes 10:=gekämpft.
29425,0,1,0,2.0,6,0,4,1.0,83.32,1,0,0,luiz-inacio-lula-da-silva,Damals war Brasilien eine Militärdiktatur.,32_long,Politik|Personen|Seiten_mit_defekten_Dateilinks,2022-10-31T19:09:35Z,6275ee07d0785a2da491fbb224064f23,0:=Damals 1:=war 2:=Brasilien 3:=eine 4:=Militärdiktatur.
10032,0,1,0,2.62,9,1,5,0.96,88.74,1,1,0,deep-web,Einige dieser Seiten sind durch ein Pass-wort geschützt.,3_short,Internet|Seiten_mit_defekten_Dateilinks,2016-07-31T15:22:03Z,76bf1508c054395f67a605468d76c22f,0:=Einige 1:=dieser 2:=Seiten 3:=sind 4:=durch 5:=ein 6:=Pass-wort 7:=geschützt.
1789,0,1,0,2.64,13,0,8,1.0,68.77,1,0,0,anarchismus,Im Anarchismus sind diese Sachen für die Menschen besonders wichtig: • Gewaltlosigkeit,36_long,Politik|Seiten_mit_defekten_Dateilinks,2016-04-25T17:26:24Z,48f66906899cc4a9477b6c9e32ff4424,0:=Im 1:=Anarchismus 2:=sind 3:=diese 4:=Sachen 5:=für 6:=die 7:=Menschen 8:=besonders 9:=wichtig: 10:=• 11:=Gewaltlosigkeit
29380,0,1,0,2.62,9,2,6,1.0,80.28,1,0,0,luge,Die Person lügt um andere Menschen zu täuschen.,10_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2023-03-01T17:39:00Z,017ecada082ed42bbfc77d89d4b14406,0:=Die 1:=Person 2:=lügt 3:=um 4:=andere 5:=Menschen 6:=zu 7:=täuschen.
27174,0,1,0,2.6,8,1,4,1.0,31.55,1,0,0,krawatte,Hier werden Krawatten oft getragen: • Privatschulen,12_long,Kleider,2015-04-06T18:57:54Z,4189117576b2876ec34dc7db77b24cb6,0:=Hier 1:=werden 2:=Krawatten 3:=oft 4:=getragen: 5:=• 6:=Privatschulen
12546,0,1,0,2.29,8,1,6,1.0,73.85,1,0,0,einrad,Meistens hat ein Ein-rad: • keine Fahr-rad-kette,3_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2019-09-15T15:33:55Z,7b5adf57ed2178795004f4c052333f37,0:=Meistens 1:=hat 2:=ein 3:=Ein-rad: 4:=• 5:=keine 6:=Fahr-rad-kette
1861,0,1,0,2.64,12,1,8,1.0,102.61,1,0,0,angriff-in-las-vegas,In den USA ist es sehr leicht eine Waffe zu kaufen.,27_long,Geschichte|Aus_den_Nachrichten|Hurraki:Überarbeiten|Seiten_mit_defekten_Dateilinks,2017-10-11T05:48:19Z,48f66906899cc4a9477b6c9e32ff4424,0:=In 1:=den 2:=USA 3:=ist 4:=es 5:=sehr 6:=leicht 7:=eine 8:=Waffe 9:=zu 10:=kaufen.
9948,0,1,0,1.83,7,0,5,0.99,66.4,1,0,0,david-bowie,"Das war in London, Großbritannien.",1_long,Musik|Personen,2016-01-11T18:42:10Z,28d34f2e053dee2c0e9399a7924cd978,"0:=Das 1:=war 2:=in 3:=London, 4:=Großbritannien."
1064,0,1,0,1.5,5,1,3,0.98,75.88,1,0,0,alexander-graham-bell,Bell studiert in Edinburgh.,12_long,Personen|Seiten_mit_defekten_Dateilinks,2022-03-03T19:51:00Z,28d34f2e053dee2c0e9399a7924cd978,0:=Bell 1:=studiert 2:=in 3:=Edinburgh.
29295,0,1,0,1.62,10,1,3,0.99,87.72,1,1,0,luddismus,Das Wort Luddismus gibt es seit dem 19. Jahr-hundert.,5_long,Geschichte|Politik|Technik,2021-06-26T08:51:07Z,48f66906899cc4a9477b6c9e32ff4424,0:=Das 1:=Wort 2:=Luddismus 3:=gibt 4:=es 5:=seit 6:=dem 7:=19. 8:=Jahr-hundert.
1651,0,1,0,1.6,6,1,3,1.0,100.24,1,0,0,amtseid,Oder es gibt Gesetze dafür.,2_long,Recht_und_Gesetz,2022-05-29T05:19:00Z,48f66906899cc4a9477b6c9e32ff4424,0:=Oder 1:=es 2:=gibt 3:=Gesetze 4:=dafür.
12095,0,1,0,2.2,6,1,4,0.94,117.16,1,0,0,ecall,Er hat kein Handy dabei.,22_long,Ohne_Kategorie,2014-12-31T12:07:06Z,28d34f2e053dee2c0e9399a7924cd978,0:=Er 1:=hat 2:=kein 3:=Handy 4:=dabei.
29484,0,1,0,2.33,10,1,7,1.0,79.26,1,0,0,lurker,Ein Lurker schreibt selbst keine Artikel in einem Wiki.,8_long,Schimpfwort,2012-11-22T08:39:34Z,28d34f2e053dee2c0e9399a7924cd978,0:=Ein 1:=Lurker 2:=schreibt 3:=selbst 4:=keine 5:=Artikel 6:=in 7:=einem 8:=Wiki.
12198,0,1,0,3.43,15,1,11,1.0,73.85,1,0,1,edward-snowden,"Edward Snowden  wurde am 21. Juni 1983 in Elizabeth City, USA geboren.",0_long,Personen,2013-07-05T06:23:04Z,6275ee07d0785a2da491fbb224064f23,"0:=Edward 1:=Snowden 2:= 3:=wurde 4:=am 5:=21. 6:=Juni 7:=1983 8:=in 9:=Elizabeth 10:=City, 11:=USA 12:=geboren."
27029,0,1,0,2.86,8,1,6,1.0,115.13,1,0,0,kosmopolitismus,Oder wie man die Welt gerne hat.,2_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2019-06-16T07:49:02Z,48f66906899cc4a9477b6c9e32ff4424,0:=Oder 1:=wie 2:=man 3:=die 4:=Welt 5:=gerne 6:=hat.
27196,0,1,0,2.29,8,1,4,1.0,89.75,0,0,0,kredit,Mit einem Kredit bekommt man Geld aus-geliehen.,0_short,Geld,2015-11-23T11:05:06Z,88797a15ffaeedd9a8292e0b51c85385,0:=Mit 1:=einem 2:=Kredit 3:=bekommt 4:=man 5:=Geld 6:=aus-geliehen.
12382,0,1,0,1.25,5,1,2,1.0,118.18,1,0,0,eierwarmer,Ein Ei wird ge-kocht.,0_long,Essen_und_Trinken,2019-04-04T09:58:35Z,48f66906899cc4a9477b6c9e32ff4424,0:=Ein 1:=Ei 2:=wird 3:=ge-kocht.
29391,0,1,0,2.29,8,0,5,1.0,89.75,1,1,0,luge,Eine Lüge ist eine absichtlich falsche Aussage.,0_short,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2023-03-01T17:39:00Z,017ecada082ed42bbfc77d89d4b14406,0:=Eine 1:=Lüge 2:=ist 3:=eine 4:=absichtlich 5:=falsche 6:=Aussage.
12437,0,1,0,1.71,8,1,5,1.0,90.77,1,0,0,eiffelturm,"Der Turm steht in Paris, Frankreich.",1_short,Ort,2015-03-31T17:25:55Z,45975183761f50ed006efcbab4df0803,"0:=Der 1:=Turm 2:=steht 3:=in 4:=Paris, 5:=Frankreich."
12151,0,1,0,1.8,6,1,4,1.0,49.48,1,0,0,echter-clownfisch,Anemonen-fische leben in einer Anemone.,5_long,Tiere|Seiten_mit_defekten_Dateilinks,2021-05-15T15:50:47Z,7b5adf57ed2178795004f4c052333f37,0:=Anemonen-fische 1:=leben 2:=in 3:=einer 4:=Anemone.
27214,0,1,0,2.0,7,1,5,0.97,90.77,1,1,0,krieg,Heutzutage gibt es keine Kriegerklärung mehr.,3_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2015-10-10T20:54:29Z,687c465aa14a2b3047e6e0c21fbc9670,0:=Heutzutage 1:=gibt 2:=es 3:=keine 4:=Kriegerklärung 5:=mehr.
1028,0,1,0,1.25,5,0,2,1.0,75.88,1,0,0,aleppo,Viele Stadt-teile sind kaputt.,15_long,Städte|Seiten_mit_defekten_Dateilinks,2016-09-26T14:57:00Z,7b5adf57ed2178795004f4c052333f37,0:=Viele 1:=Stadt-teile 2:=sind 3:=kaputt.
12414,0,1,0,2.71,8,1,6,1.0,89.75,1,0,1,eifersucht,Eifersucht kann in Gedanken und Gefühlen vorkommen.,0_short,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2022-01-03T17:00:58Z,e800bebc9060331edfac65e663a55570,0:=Eifersucht 1:=kann 2:=in 3:=Gedanken 4:=und 5:=Gefühlen 6:=vorkommen.
10106,0,1,0,1.4,6,1,3,1.0,83.32,1,0,0,demenz,Manche Medikamente helfen bei Demenz.,19_long,Gesundheit|Seiten_mit_defekten_Dateilinks,2012-10-27T17:19:13Z,a6e7bfd89d5771b450c4ab0f5c2996e5,0:=Manche 1:=Medikamente 2:=helfen 3:=bei 4:=Demenz.
1880,0,1,0,2.55,12,1,6,1.0,113.1,1,0,0,animal-liberation-front,Zum Beispiel: • Die Gruppe sägt Hochsitze von Jägern um.,11_long,Ohne_Kategorie,,,0:=Zum 1:=Beispiel: 2:=• 3:=Die 4:=Gruppe 5:=sägt 6:=Hochsitze 7:=von 8:=Jägern 9:=um.
27152,0,1,0,1.5,5,1,2,0.76,92.8,1,0,0,krankheit,Oder man kann sterben.,4_short,Gesundheit|Hurraki:Überarbeiten|Seiten_mit_defekten_Dateilinks,2020-05-07T06:15:23Z,48f66906899cc4a9477b6c9e32ff4424,0:=Oder 1:=man 2:=kann 3:=sterben.
12258,0,1,0,2.5,11,1,7,1.0,112.09,1,0,1,ehegattensplitting,Zum Beispiel eine Frau und ein Mann die geheiratet haben.,14_long,Seiten_mit_defekten_Dateilinks|Ohne_Kategorie,2014-07-17T09:07:41Z,cfbe77d115cd524def4ccbe596a54842,0:=Zum 1:=Beispiel 2:=eine 3:=Frau 4:=und 5:=ein 6:=Mann 7:=die 8:=geheiratet 9:=haben.
27073,0,1,0,1.89,10,2,4,1.0,88.74,1,0,0,krankenkasse,"Wer mehr Geld hat, muss mehr Mitglieds-beitrag zahlen.",4_long,Gesundheit|Recht_und_Gesetz|Seiten_mit_defekten_Dateilinks,2020-08-04T13:39:48Z,cfbe77d115cd524def4ccbe596a54842,"0:=Wer 1:=mehr 2:=Geld 3:=hat, 4:=muss 5:=mehr 6:=Mitglieds-beitrag 7:=zahlen."
1142,0,1,0,1.8,6,1,3,1.0,83.32,1,0,0,alkoholkrankheit,Und man braucht eine Therapie.,13_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2023-03-06T15:49:02Z,017ecada082ed42bbfc77d89d4b14406,0:=Und 1:=man 2:=braucht 3:=eine 4:=Therapie.
1760,0,1,0,1.25,5,1,2,0.87,50.5,1,0,0,anarchismus,Alle Menschen bestimmen mit.,7_long,Politik|Seiten_mit_defekten_Dateilinks,2016-04-25T17:26:24Z,48f66906899cc4a9477b6c9e32ff4424,0:=Alle 1:=Menschen 2:=bestimmen 3:=mit.
29660,0,1,0,2.0,6,1,4,1.0,117.16,1,0,0,mahatma-gandhi,Sie haben das Salz verkauft.,38_long,Personen|Geschichte|Hurraki:Überarbeiten,2016-01-24T14:10:25Z,ab8e1e48a3f3355687558d8cb4fd204d,0:=Sie 1:=haben 2:=das 3:=Salz 4:=verkauft.
1378,0,1,0,3.12,9,0,7,1.0,105.66,1,0,0,alternative-fur-deutschland,Und weil manche Ideen gegen das Grund-gesetz sind.,15_long,Politik|Aus_den_Nachrichten|Partei_in_Deutschland,2016-10-08T08:01:49Z,6275ee07d0785a2da491fbb224064f23,0:=Und 1:=weil 2:=manche 3:=Ideen 4:=gegen 5:=das 6:=Grund-gesetz 7:=sind.
29262,0,1,0,1.67,7,1,3,1.0,99.23,1,1,0,lowe,Ein männlicher Löwen hat eine Mähne.,2_long,Tiere|Seiten_mit_defekten_Dateilinks,2023-06-29T12:17:58Z,ab62fc4b1975a3ebc0bd2c4dccf571d8,0:=Ein 1:=männlicher 2:=Löwen 3:=hat 4:=eine 5:=Mähne.
1867,0,1,0,2.0,8,1,5,1.0,89.75,1,1,0,angriff-in-las-vegas,Der Mann hat über 50 Menschen ermordet.,3_short,Geschichte|Aus_den_Nachrichten|Hurraki:Überarbeiten|Seiten_mit_defekten_Dateilinks,2017-10-11T05:48:19Z,48f66906899cc4a9477b6c9e32ff4424,0:=Der 1:=Mann 2:=hat 3:=über 4:=50 5:=Menschen 6:=ermordet.
42136,0,1,0,2.5,9,1,6,0.96,105.66,1,0,0,sitzvolleyball,Der Ball soll immer in der Luft bleiben.,9_long,Sport|Paralympics,2012-01-30T18:24:13Z,d4171b2c36772be4cad75ef4078874bd,0:=Der 1:=Ball 2:=soll 3:=immer 4:=in 5:=der 6:=Luft 7:=bleiben.
12421,0,1,0,2.29,8,1,6,1.0,106.67,1,0,0,eiffelturm,Frankreich wollte zur Feier einen Turm haben.,2_long,Ort,2015-03-31T17:25:55Z,45975183761f50ed006efcbab4df0803,0:=Frankreich 1:=wollte 2:=zur 3:=Feier 4:=einen 5:=Turm 6:=haben.
12379,0,1,0,2.57,8,0,5,1.0,90.77,1,0,0,eierlegende-wollmilchsau,Zum Beispiel wenn: • alles Positiv ist,5_short,Redewendungen,2013-10-21T08:18:22Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Zum 1:=Beispiel 2:=wenn: 3:=• 4:=alles 5:=Positiv 6:=ist
42093,0,1,0,2.7,11,0,6,1.0,95.17,1,1,0,sitcom,Eine sehr bekannte Sitcom ist Two and a Half Men.,2_long,Radio_und_Fernsehen,2011-12-15T11:32:02Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Eine 1:=sehr 2:=bekannte 3:=Sitcom 4:=ist 5:=Two 6:=and 7:=a 8:=Half 9:=Men.
9932,0,1,0,1.67,7,1,4,1.0,6.17,1,0,0,daumenkino,Das Daumenkino funktioniert durch den Stroboskop-effekt.,5_long,Film_und_Kino|Technik,2014-03-01T15:38:30Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Das 1:=Daumenkino 2:=funktioniert 3:=durch 4:=den 5:=Stroboskop-effekt.
29513,0,1,0,1.6,6,1,3,0.69,66.4,1,0,0,macke,Manche Menschen haben besondere Macken.,4_long,Wörter_mit_verschiedenen_Bedeutungen|Redewendungen,2014-12-03T16:45:06Z,2ea1a8ea6b2bfe94c51d6422d4cdaad4,0:=Manche 1:=Menschen 2:=haben 3:=besondere 4:=Macken.
12324,0,1,0,3.12,9,0,7,1.0,80.28,1,0,0,ehe,Und das sie immer für-einander da sein werden.,3_short,Recht_und_Gesetz,2019-01-14T08:43:52Z,48f66906899cc4a9477b6c9e32ff4424,0:=Und 1:=das 2:=sie 3:=immer 4:=für-einander 5:=da 6:=sein 7:=werden.
29716,0,1,0,1.5,5,1,3,0.99,50.5,1,0,0,mais,Mais kommt aus Mittel-amerika.,1_short,Natur|Pflanzen|Essen_und_Trinken|Bäcker|Seiten_mit_defekten_Dateilinks,2020-07-15T18:52:04Z,cfbe77d115cd524def4ccbe596a54842,0:=Mais 1:=kommt 2:=aus 3:=Mittel-amerika.
1451,0,1,0,2.44,10,1,5,0.92,87.72,1,0,1,altonaer-fischmarkt,Auf dem Altonaer Fisch-markt kann man viele Sachen kaufen.,0_long,Essen_und_Trinken|Seiten_mit_defekten_Dateilinks,2023-02-08T08:19:21Z,58d6d1d5aca5e9e6ed470dcf6dafeb4e,0:=Auf 1:=dem 2:=Altonaer 3:=Fisch-markt 4:=kann 5:=man 6:=viele 7:=Sachen 8:=kaufen.
29488,0,1,0,1.6,6,1,3,0.68,83.32,1,0,0,lurker,Ein Lurker diskutiert nicht mit.,3_short,Schimpfwort,2012-11-22T08:39:34Z,28d34f2e053dee2c0e9399a7924cd978,0:=Ein 1:=Lurker 2:=diskutiert 3:=nicht 4:=mit.
27002,0,1,0,2.89,10,2,8,1.0,79.26,1,0,0,korruption,Er hat die Menschen die Geld gespendet haben betrogen.,7_long,Politik|Recht_und_Gesetz,2008-10-10T21:54:55Z,e3afed0047b08059d0fada10f400c1e5,0:=Er 1:=hat 2:=die 3:=Menschen 4:=die 5:=Geld 6:=gespendet 7:=haben 8:=betrogen.
9765,0,1,0,2.33,7,1,4,1.0,73.85,1,0,0,dampflokomotive,Die Lokomotive kann man gut erkennen.,3_long,Verkehr|Seiten_mit_defekten_Dateilinks,2023-01-30T15:21:08Z,99280970af8d54864c10b22240ecda16,0:=Die 1:=Lokomotive 2:=kann 3:=man 4:=gut 5:=erkennen.
2056,0,1,0,2.29,8,1,6,1.0,115.13,1,1,0,anschlag-in-ankara-2015,Manche sagen es war die IS Gruppe.,6_long,Ohne_Kategorie|Geschichte|Seiten_mit_defekten_Dateilinks,2015-10-12T15:11:33Z,af28a20dfb151690981ee13d72ce655c,0:=Manche 1:=sagen 2:=es 3:=war 4:=die 5:=IS 6:=Gruppe.
1079,0,1,0,2.2,11,0,7,1.0,95.17,1,0,1,alexander-graham-bell,Vom Jahr 1873 bis zum Jahr 1877 ist Bell Professor.,27_long,Personen|Seiten_mit_defekten_Dateilinks,2022-03-03T19:51:00Z,28d34f2e053dee2c0e9399a7924cd978,0:=Vom 1:=Jahr 2:=1873 3:=bis 4:=zum 5:=Jahr 6:=1877 7:=ist 8:=Bell 9:=Professor.
2137,0,1,0,1.86,8,1,4,1.0,22.07,1,1,0,anschlag-in-charlottesville,Die Rechten Gruppen haben die Gegen-demonstranten angegriffen.,6_long,Aus_den_Nachrichten|Hurraki:Überarbeiten|Seiten_mit_defekten_Dateilinks,2017-08-20T04:11:19Z,48f66906899cc4a9477b6c9e32ff4424,0:=Die 1:=Rechten 2:=Gruppen 3:=haben 4:=die 5:=Gegen-demonstranten 6:=angegriffen.
42098,0,1,0,2.38,9,0,5,0.99,63.36,1,0,0,sitelen-pona,In einem Bild-schrift-zeichen-system ist jedes Zeichen ein Wort.,2_long,Sprache|Seiten_mit_defekten_Dateilinks,2022-02-08T06:59:29Z,48f66906899cc4a9477b6c9e32ff4424,0:=In 1:=einem 2:=Bild-schrift-zeichen-system 3:=ist 4:=jedes 5:=Zeichen 6:=ein 7:=Wort.
29457,0,1,0,2.0,7,1,4,1.0,90.77,1,0,0,luiz-inacio-lula-da-silva,In Brasilien gibt es eine Verfassung.,64_long,Politik|Personen|Seiten_mit_defekten_Dateilinks,2022-10-31T19:09:35Z,6275ee07d0785a2da491fbb224064f23,0:=In 1:=Brasilien 2:=gibt 3:=es 4:=eine 5:=Verfassung.
12220,0,1,0,2.29,8,1,5,0.74,81.29,1,1,0,egalitarismus,Und jeder soll die gleichen Chancen haben.,6_long,Haltung|Politische_Idee|Seiten_mit_defekten_Dateilinks,2022-09-22T12:10:23Z,48f66906899cc4a9477b6c9e32ff4424,0:=Und 1:=jeder 2:=soll 3:=die 4:=gleichen 5:=Chancen 6:=haben.
12110,0,1,0,1.5,9,2,4,1.0,62.34,1,0,0,ecall,man kann die eCall Daten nehmen und Maut-gebühren verlangen,37_long,Ohne_Kategorie,2014-12-31T12:07:06Z,28d34f2e053dee2c0e9399a7924cd978,0:=man 1:=kann 2:=die 3:=eCall 4:=Daten 5:=nehmen 6:=und 7:=Maut-gebühren 8:=verlangen
1042,0,1,0,1.67,7,1,4,1.0,73.85,1,0,0,aleviten,Einige Aleviten sehen sich als Muslime.,4_short,Religion,2008-02-02T09:57:28Z,e3afed0047b08059d0fada10f400c1e5,0:=Einige 1:=Aleviten 2:=sehen 3:=sich 4:=als 5:=Muslime.
42311,0,1,0,2.29,8,0,5,1.0,106.67,1,1,0,smartlet,Ein Smartlet ist ein sehr großes Handy.,0_short,Computer,2013-04-02T10:52:11Z,ac95c75a4819ddeb76a125281a8c84d9,0:=Ein 1:=Smartlet 2:=ist 3:=ein 4:=sehr 5:=großes 6:=Handy.
1881,0,1,0,2.62,9,1,7,0.86,73.85,1,0,0,animal-liberation-front, • Die Gruppe hat eine Wurstfabrik angezündet.,12_long,Ohne_Kategorie,,,0:= 1:=• 2:=Die 3:=Gruppe 4:=hat 5:=eine 6:=Wurstfabrik 7:=angezündet.
9756,0,1,0,1.88,9,0,5,1.0,80.28,1,2,0,dalai-lama,Der Dalai Lama ist das Oberhaupt der Buddhisten.,1_short,Religion,2008-02-05T15:10:08Z,e3afed0047b08059d0fada10f400c1e5,0:=Der 1:=Dalai 2:=Lama 3:=ist 4:=das 5:=Oberhaupt 6:=der 7:=Buddhisten.
