sentence,tree,is_sent
Andere Aleviten sehen sich nicht als Muslime.,(S (NP (ADJA Andere) (NN Aleviten)) (VVFIN sehen) (PRF sich) (PTKNEG nicht) (PP (APPR als) (NN Muslime))) ($. .),True
Er ist auf einen sehr großen Berg geklettert.,(S (PPER Er) (VAFIN ist) (VP (PP (APPR auf) (ART einen) (AP (ADV sehr) (ADJA großen)) (NN Berg)) (VVPP geklettert))) ($. .),True
Der Berg heißt: El Capitan.,(S (NP (ART Der) (NN Berg)) (VVFIN heißt)) ($. :) (PN (NE El) (NE Capitan)) ($. .),True
Die Kletter-route ist fast 1000 Meter lang.,(S (NP (ART Die) (NN Kletter-route)) (VAFIN ist) (AP (NP (AP (ADV fast) (CARD 1000)) (NN Meter)) (ADJD lang))) ($. .),True
Über Alex Honnold gibt es einen Film.,(S (PP (APPR Über) (PN (NE Alex) (NE Honnold))) (VVFIN gibt) (PPER es) (NP (ART einen) (NN Film))) ($. .),True
Er heißt: Free Solo.,(S (PPER Er) (VVFIN heißt)) ($. :) (PN (FM Free) (FM Solo)) ($. .),True
Alex Honnold ist ein bekannter Free Solo Kletterer.,(S (PN (NE Alex) (NE Honnold)) (VAFIN ist) (NP (ART ein) (ADJA bekannter) (FM Free) (FM Solo) (NN Kletterer))) ($. .),True
Er ist am 17. August 1985 geboren.,(S (PPER Er) (VAFIN ist) (VP (PP (APPRART am) (ADJA 17.) (NN August) (CARD 1985)) (VVPP geboren))) ($. .),True
In den USA.,(PP (APPR In) (ART den) (NE USA)) ($. .),False
Alexander Graham Bell kommt am 3. März 1847 auf die Welt.,(S (PN (NE Alexander) (NE Graham) (NE Bell)) (VVFIN kommt) (PP (APPRART am) (ADJA 3.) (NN März) (CARD 1847)) (PP (APPR auf) (ART die) (NN Welt))) ($. .),True
"In Edinburgh, Schottland.","(APPR In) (NE Edinburgh) ($, ,) (PP (NE Schottland)) ($. .)",False
"Er stirbt am 2. August 1922. \newline In Baddeck, Kanada.",(PPER Er) (VVFIN stirbt) (APPRART am) (ADJA 2.) (NN August) ($. 1922.),False
Der Groß-vater von Alexander Graham Bell hat sich mit Sprech-technik beschäftigt.,(S (NP (ART Der) (NN Groß-vater) (PP (APPR von) (PN (NE Alexander) (NE Graham) (NE Bell)))) (VAFIN hat) (VP (PRF sich) (PP (APPR mit) (NN Sprech-technik)) (VVPP beschäftigt))) ($. .),True
Der Vater von Bell heißt Alexander Melville Bell.,(S (NP (ART Der) (NN Vater) (PP (APPR von) (NE Bell))) (VVFIN heißt) (PN (NE Alexander) (NE Melville) (NE Bell))) ($. .),True
Der Vater von Bell war Professor für Rede-kunst und Vortrags-kunst.,(S (NP (ART Der) (NN Vater) (PP (APPR von) (NE Bell))) (VAFIN war) (NP (NN Professor) (PP (APPR für) (CNP (NN Rede-kunst) (KON und) (NN Vortrags-kunst))))) ($. .),True
Der Vater hat eine Laut-schrift erfunden.,(S (NP (ART Der) (NN Vater)) (VAFIN hat) (VP (NP (ART eine) (NN Laut-schrift)) (VVPP erfunden))) ($. .),True
Die Laut-schrift heißt Visible Speech.,(S (NP (ART Die) (NN Laut-schrift)) (VVFIN heißt) (CH (FM Visible) (FM Speech))) ($. .),True
Die Mutter von Bell heißt Eliza Symonds Bell.,(S (NP (ART Die) (NN Mutter) (PP (APPR von) (NE Bell))) (VVFIN heißt) (PN (NE Eliza) (NE Symonds) (NE Bell))) ($. .),True
Die Mutter war stark schwerhörig.,(S (NP (ART Die) (NN Mutter)) (VAFIN war) (AP (ADJD stark) (ADJD schwerhörig))) ($. .),True
Bell hat mit ihr mit einer tiefen Stimme gesprochen.,(S (NE Bell) (VAFIN hat) (VP (PP (APPR mit) (PPER ihr)) (PP (APPR mit) (ART einer) (ADJA tiefen) (NN Stimme)) (VVPP gesprochen))) ($. .),True
Dann konnte sie ihn besser hören.,(S (ADV Dann) (VMFIN konnte) (PPER sie) (VP (PPER ihn) (ADJD besser) (VVINF hören))) ($. .),True
Bell studiert in Edinburgh.,(S (NE Bell) (VVFIN studiert) (PP (APPR in) (NE Edinburgh))) ($. .),True
Er studiert die Fächer Latein und Griechisch.,(S (PPER Er) (VVFIN studiert) (NP (ART die) (NN Fächer) (CNP (NN Latein) (KON und) (NN Griechisch)))) ($. .),True
Mit 17 Jahren wird Bell Lehrer.,(S (PP (APPR Mit) (CARD 17) (NN Jahren)) (VAFIN wird) (NE Bell) (NN Lehrer)) ($. .),True
An der einer Schule für Sprech-technik und Musik.,(PP (APPR An) (PDS der) (NP (ART einer) (NN Schule) (PP (APPR für) (CNP (NN Sprech-technik) (KON und) (NN Musik))))) ($. .),False
In seiner Freizeit forscht er.,(S (PP (APPR In) (PPOSAT seiner) (NN Freizeit)) (VVFIN forscht) (PPER er)) ($. .),True
Er forscht zum Thema Akustik.,(S (PPER Er) (VVFIN forscht) (PP (APPRART zum) (NN Thema) (NN Akustik))) ($. .),True
Sein Vater unterrichtet in einer Universität in London.,(S (NP (PPOSAT Sein) (NN Vater)) (VVFIN unterrichtet) (PP (APPR in) (ART einer) (NN Universität) (PP (APPR in) (NE London)))) ($. .),True
Dort ist er Dozent für Sprach-technik.,(S (ADV Dort) (VAFIN ist) (PPER er) (NP (NN Dozent) (PP (APPR für) (NN Sprach-technik)))) ($. .),True
Er stellt seinen Sohn als Assistenten ein.,(S (PPER Er) (VVFIN stellt) (NP (PPOSAT seinen) (NN Sohn)) (PP (APPR als) (NN Assistenten)) (PTKVZ ein)) ($. .),True
Seit dem Jahr 1868 gibt Alexander Graham Bell Sprech-unterricht.,(S (PP (APPR Seit) (ART dem) (NN Jahr) (CARD 1868)) (VVFIN gibt) (PN (NE Alexander) (NE Graham) (NE Bell)) (NN Sprech-unterricht)) ($. .),True
Für gehörlose Kinder.,(PP (APPR Für) (ADJA gehörlose) (NN Kinder)) ($. .),False
Alexander Graham Bell studiert bist zum Jahr 1870. \newline Er studiert alles über die menschlichen Stimme.,(S (PN (NE Alexander) (NE Graham) (NE Bell)) (VP (VVPP studiert)) (VAFIN bist) (APPRART zum) (NN Jahr)) ($. 1870.),True
Im Jahr 1870 zieht die Familie Bell nach Kanada.,(S (PP (APPRART Im) (NN Jahr) (CARD 1870)) (VVFIN zieht) (NP (ART die) (NN Familie) (NE Bell)) (PP (APPR nach) (NE Kanada))) ($. .),True
Im Jahr 1871 wird Bell Gehörlosenlehrer.,(S (PP (APPRART Im) (NN Jahr) (CARD 1871)) (VAFIN wird) (NE Bell) (NN Gehörlosenlehrer)) ($. .),True
"An der Clarke School in Northampton, Massachusetts.","(APPR An) (ART der) (PN (NE Clarke) (NE School)) (APPR in) (NE Northampton) ($, ,) (PP (PP (NE Massachusetts))) ($. .)",False
Vom Jahr 1873 bis zum Jahr 1877 ist Bell Professor.,(S (PP (APPRART Vom) (NN Jahr) (CARD 1873)) (PP (APPR bis) (APPRART zum) (NN Jahr) (CARD 1877)) (VAFIN ist) (NE Bell) (NN Professor)) ($. .),True
Er ist Professor für Sprech-technik und Physiologie der Stimme.,(S (PPER Er) (VAFIN ist) (NP (NN Professor) (PP (APPR für) (CNP (NN Sprech-technik) (KON und) (NP (NN Physiologie) (NP (ART der) (NN Stimme))))))) ($. .),True
An der Universität Boston.,(PP (APPR An) (ART der) (NN Universität) (NE Boston)) ($. .),False
Sie haben sich an der Clarke School kennen gelernt.,(S (PPER Sie) (VAFIN haben) (VP (VP (PRF sich) (PP (APPR an) (ART der) (PN (NE Clarke) (NE School))) (VVINF kennen)) (VVPP gelernt))) ($. .),True
Alexander Graham Bell ist einer der Erfinder vom Telefon.,(S (PN (NE Alexander) (NE Graham) (NE Bell)) (VAFIN ist) (NP (PIS einer) (NP (ART der) (NN Erfinder) (PP (APPRART vom) (NN Telefon))))) ($. .),True
Alexander Graham Bell war ein Sprach-lehrer für Gehörlose.,(S (PN (NE Alexander) (NE Graham) (NE Bell)) (VAFIN war) (NP (ART ein) (NN Sprach-lehrer) (PP (APPR für) (NN Gehörlose)))) ($. .),True
Alexander Mitscherlich kommt am 20. September 1908 auf die Welt.,(S (PN (NE Alexander) (NE Mitscherlich)) (VVFIN kommt) (PP (APPRART am) (ADJA 20.) (NN September) (CARD 1908)) (PP (APPR auf) (ART die) (NN Welt))) ($. .),True
"In München, Deutschland.","(APPR In) (NE München) ($, ,) (PP (NE Deutschland)) ($. .)",False
"Er stirbt am 26. Juni 1982. \newline In Frankfurt am Main, Deutschland.",(PPER Er) (VVFIN stirbt) (APPRART am) (ADJA 26.) (NN Juni) ($. 1982.),False
Alexander Mitscherlich war ein: • Arzt,(S (PN (NE Alexander) (NE Mitscherlich)) (VAFIN war) (ART ein)) ($. :) (XY •) (NP (NN Arzt)),True
Alexander Mitscherlich war ein: • Psychoanalytiker,(S (PN (NE Alexander) (NE Mitscherlich)) (VAFIN war) (ART ein)) ($. :) ($LRB •) (NP (NN Psychoanalytiker)),True
Alexander Mitscherlich war ein: • Hochschul-lehrer,(S (PN (NE Alexander) (NE Mitscherlich)) (VAFIN war) (ART ein)) ($. :) ($LRB •) (NP (NN Hochschul-lehrer)),True
Alexander Mitscherlich war ein: • Schriftsteller,(S (PN (NE Alexander) (NE Mitscherlich)) (VAFIN war) (ART ein)) ($. :) (XY •) (NP (NN Schriftsteller)),True
Sein bekanntestes Buch heißt:,(S (NP (PPOSAT Sein) (ADJA bekanntestes) (NN Buch)) (VVFIN heißt)) ($. :),True
Die Unfähigkeit zu trauern,(NP (ART Die) (NN Unfähigkeit) (VZ (PTKZU zu) (VVINF trauern))),False
Das Buch hat er zusammen mit seiner Frau Margarete Mitscherlich geschrieben.,(S (NP (ART Das) (NN Buch)) (VAFIN hat) (PPER er) (VP (PP (ADV zusammen) (APPR mit) (PPOSAT seiner) (NN Frau) (PN (NE Margarete) (NE Mitscherlich))) (VVPP geschrieben))) ($. .),True
Alexander Sergejewitsch Puschkin kommt am 6. Juni 1799 auf die Welt.,(S (PN (NE Alexander) (NE Sergejewitsch) (NE Puschkin)) (VVFIN kommt) (PP (APPRART am) (ADJA 6.) (NN Juni) (CARD 1799)) (PP (APPR auf) (ART die) (NN Welt))) ($. .),True
"In Moskau, Russland.","(APPR In) (NE Moskau) ($, ,) (PP (NE Russland)) ($. .)",False
"Er stirbt am  10. Februar 1837. \newline In Sankt Petersburg, Russland.",(S (PPER Er) (VVFIN stirbt) (PTKA am)),True
Alexander Sergejewitsch Puschkin ist ein: \newline Schrift-steller \newline Dichter,(S (PN (NE Alexander) (NE Sergejewitsch) (NE Puschkin)) (VAFIN ist) (ART ein)) ($. :) (NE \newline),True
Alexander Sutherland Neill  kommt am 17. Oktober 1883 auf die Welt.,(S (PN (NE Alexander) (NE Sutherland) (NE Neill)) (VVFIN  ) (VVFIN kommt) (PP (APPRART am) (ADJA 17.) (NN Oktober) (CARD 1883)) (PP (APPR auf) (ART die) (NN Welt))) ($. .),True
"In Forfar, Schottland.","(APPR In) (NE Forfar) ($, ,) (PP (NE Schottland)) ($. .)",False
"Er stirbt am 23. September 1973. \newline In Aldeburgh, Suffolk, England.",(PPER Er) (VVFIN stirbt) (APPRART am) (ADJA 23.) (NN September) ($. 1973.),False
Alexander Sutherland Neill war ein Pädagoge.,(S (PN (NE Alexander) (NE Sutherland) (NE Neill)) (VAFIN war) (NP (ART ein) (NN Pädagoge))) ($. .),True
Er hat die Summerhill Schule geründet.,(S (PPER Er) (VAFIN hat) (VP (NP (ART die) (NE Summerhill) (NN Schule)) (VVPP geründet))) ($. .),True
Im Jahr 2012 hat er eine neue Richtung der Kunst erfunden.,(S (PP (APPRART Im) (NN Jahr) (CARD 2012)) (VAFIN hat) (PPER er) (VP (NP (ART eine) (ADJA neue) (NN Richtung) (NP (ART der) (NN Kunst))) (VVPP erfunden))) ($. .),True
Diese Kunst ist bei vielen Menschen beliebt.,(S (NP (PDAT Diese) (NN Kunst)) (VAFIN ist) (PP (APPR bei) (PIAT vielen) (NN Menschen)) (ADJD beliebt)) ($. .),True
Er ist ein Künstler aus Russland.,(S (PPER Er) (VAFIN ist) (NP (ART ein) (NN Künstler) (PP (APPR aus) (NE Russland)))) ($. .),True
Ein Algo-rithmus löst eine Aufgabe Schritt für Schritt.,(S (NP (ART Ein) (NN Algo-rithmus)) (VVFIN löst) (NP (ART eine) (NN Aufgabe)) (NP (NN Schritt) (PP (APPR für) (NN Schritt)))) ($. .),True
Das Gegenteil von einem Algorithmus ist eine Heuristik.,(S (NP (ART Das) (NN Gegenteil) (PP (APPR von) (ART einem) (NN Algorithmus))) (VAFIN ist) (NP (ART eine) (NN Heuristik))) ($. .),True
Ein Algorithmus ist eine Reihen-folge.,(S (NP (ART Ein) (NN Algorithmus)) (VAFIN ist) (NP (ART eine) (NN Reihen-folge))) ($. .),True
Mit einem Algo-rithmus kann man Probleme lösen.,(S (PP (APPR Mit) (ART einem) (NN Algo-rithmus)) (VMFIN kann) (PIS man) (VP (NN Probleme) (VVINF lösen))) ($. .),True
"In Piotrków Trybunalski, Polen.","(APPR In) (PN (NE Piotrków) (NE Trybunalski)) ($, ,) (PP (NE Polen)) ($. .)",False
"Sie stirbt am 14. April 2010. \newline In Saint-Rémy-de-Provence, Provence-Alpes-Côte d'Azur, Frankreich.",(PPER Sie) (VVFIN stirbt) (APPRART am) (ADJA 14.) (NN April) ($. 2010.),False
Millers Bücher kann man leichter verstehen.,(S (NP (NE Millers) (NN Bücher)) (VMFIN kann) (PIS man) (ADJD leichter) (VP (VVINF verstehen))) ($. .),True
Sie beschreibt Kind-Eltern-Beziehung.,(S (PPER Sie) (VVFIN beschreibt) (NN Kind-Eltern-Beziehung)) ($. .),True
Und kritisiert die Psychoanalyse.,(S (KON Und) (VVFIN kritisiert) (NP (ART die) (NN Psychoanalyse))) ($. .),True
Weil sie die Triebtheorie für eine Illusion hält.,(S (KOUS Weil) (PPER sie) (NP (ART die) (NN Triebtheorie)) (PP (APPR für) (ART eine) (NN Illusion)) (VVFIN hält)) ($. .),True
Miller sagt: \newline  \newline Die Triebtheorie ist falsch.,(S (NE Miller) (VVFIN sagt)) ($. :) (FM \newline) (XY  ) (FM \newline),True
Ein Kindheits-trauma ist mehr als kindliche Fantasie.,(S (NP (ART Ein) (NN Kindheits-trauma)) (VAFIN ist) (NP (PIS mehr) (NP (KOKOM als) (ADJA kindliche) (NN Fantasie)))) ($. .),True
"Wenn Menschen an die Triebtheorie glauben, \newline dann sehen sie nicht: \newline Kindes-missbrauch \newline Kindes-misshandlung \newline Das gibt es wirklich!","(AVP (S (KOUS Wenn) (NN Menschen) (PP (APPR an) (ART die) (NN Triebtheorie)) (VVFIN glauben))) ($, ,) (S (FM \newline) (S (ADV dann) (VVFIN sehen) (PPER sie) (PTKNEG nicht))) ($. :)",True
Alice Miller ist eine Psychologin.,(S (PN (NE Alice) (NE Miller)) (VAFIN ist) (NP (ART eine) (NN Psychologin))) ($. .),True
Sie selbst sagt von sich: \newline  \newline Ich bin eine Kindheits-forscherin!,(S (NP (PPER Sie) (ADV selbst)) (VVFIN sagt) (PP (APPR von) (PRF sich))) ($. :) (FM \newline) (FM  ) (FM \newline),True
Sie beschreibt in ihren Büchern Kindes-misshandlung.,(S (PPER Sie) (VVFIN beschreibt) (PP (APPR in) (PPOSAT ihren) (NN Büchern)) (NN Kindes-misshandlung)) ($. .),True
"Sie sagt: \newline  \newline Wenn diese Kinder Erwachsene sind, \newline dann sind sie verletzt in ihrem Sein: \newline Körperlich \newline Seelisch \newline Geistig",(S (PPER Sie) (VVFIN sagt)) ($. :) (FM \newline) (FM  ) (FM \newline),True
Viele Menschen trinken gern Getränke mit Alkohol.,(S (NP (PIAT Viele) (NN Menschen)) (VVFIN trinken) (ADV gern) (NP (NN Getränke) (PP (APPR mit) (NN Alkohol)))) ($. .),True
Das kann gefähr-lich sein.,(S (PDS Das) (VMFIN kann) (VP (ADJD gefähr-lich) (VAINF sein))) ($. .),True
Man kann abhängig werden vom Alkohol.,(S (PIS Man) (VMFIN kann) (VP (AP (ADJD abhängig)) (VAINF werden) (PP (APPRART vom) (NN Alkohol)))) ($. .),True
Das heißt:  \newline Man kann nicht aufhören mit Alkohol-trinken.,(S (PDS Das) (VVFIN heißt)) ($. :) ($.  ) (NE \newline),True
Man sagt dazu auch Sucht.,(S (PIS Man) (VVFIN sagt) (PROAV dazu) (NP (ADV auch) (NN Sucht))) ($. .),True
Die Alkohol-krankheit ist eine Krankheit.,(S (NP (ART Die) (NN Alkohol-krankheit)) (VAFIN ist) (NP (ART eine) (NN Krankheit))) ($. .),True
Menschen mit der Alkohol-krankheit nennt man: \newline Alkoholiker.,(S (NP (NN Menschen) (PP (APPR mit) (ART der) (NN Alkohol-krankheit))) (VVFIN nennt) (PIS man)) ($. :) (FM \newline),True
Ein Alkoholiker muss regel-mäßig Alkohol trinken.,(S (NP (ART Ein) (NN Alkoholiker)) (VMFIN muss) (VP (ADJD regel-mäßig) (NN Alkohol) (VVINF trinken))) ($. .),True
Sonst geht es dem Alkoholiker schlecht.,(S (ADV Sonst) (VVFIN geht) (PPER es) (NP (ART dem) (NN Alkoholiker)) (ADJD schlecht)) ($. .),True
Wenn man die Alkohol-krankheit hat braucht man Hilfe.,(S (KOUS Wenn) (PIS man) (NP (ART die) (NN Alkohol-krankheit)) (VAFIN hat) (VVFIN braucht) (PIS man) (NN Hilfe)) ($. .),True
Die Alkohol-krankheit kann man heilen.,(S (NP (ART Die) (NN Alkohol-krankheit)) (VMFIN kann) (PIS man) (VP (VVINF heilen))) ($. .),True
Dazu muss man einen Alkohol-entzug machen.,(S (PROAV Dazu) (VMFIN muss) (PIS man) (VP (NP (ART einen) (NN Alkohol-entzug)) (VVINF machen))) ($. .),True
Das nennt man auch Ent-giftung.,(S (PDS Das) (VVFIN nennt) (PIS man) (ADV auch) (NN Ent-giftung)) ($. .),True
Und man braucht eine Therapie.,(S (KON Und) (PIS man) (VVFIN braucht) (NP (ART eine) (NN Therapie))) ($. .),True
