sent-id,topic,phrase,num_statements,statement_spans,LLAMA predictions
29234,louis-braille,"Zum Beispiel Dreiecke, Quadrate und Kreise in Leder stanzen.",3,"[[2], [3], [5]]","[[0, 1, 2, 3, 4, 5, 6]]"
29235,louis-braille,"Als Louis Braille 11 Jahr alt ist, \newline entdeckt er die Nacht-schrift.",2,"[[0, 1, 2, 3, 4, 5, 6], [8, 9, 11]]","[[0, 1, 2, 3, 4], [5, 6, 7]]"
29236,louis-braille,Die Nacht-schrift hat der Hauptmann Charles Barbier erfunden.,2,"[[4], [5, 6]]","[[1, 2, 3, 4, 5]]"
29237,louis-braille,Die Nacht-schrift ist kompliziert.,1,,"[[0, 1]]"
29238,louis-braille,Louis Braille macht die Nacht-schrift einfacher.,1,,"[[1, 2, 3, 4, 5]]"
29239,louis-braille,Im Jahr 1825 ist Louis Braille fertig mit der Schrift.,2,"[[0, 1, 2], [3, 4, 5, 6, 7, 9]]","[[2, 3, 4, 5], [6, 7]]"
29240,louis-braille,Er hat die Blinden-schrift erfunden.,1,,"[[0, 1, 2, 3]]"
29241,louis-braille,Er ist jetzt 16 Jahre alt.,1,,"[[1, 2, 3, 4, 5]]"
29242,louis-braille,Louis Braille war ein Erfinder.,1,,"[[0, 1, 2, 3]]"
29243,louis-braille,Er hat die Schrift für blinde Menschen erfunden.,1,,"[[1, 2, 3, 4, 5]]"
29244,loukanikos,Wegen der griechischen Staats-schulden-krise haben viele Menschen demonstriert.,2,"[[0, 2, 3], [4, 5, 6, 7]]","[[0, 1, 2, 3, 4, 5, 6]]"
29245,loukanikos,Loukanikos war sehr oft dabei.,1,,"[[0, 1, 2, 3, 4]]"
29246,loukanikos,Dadurch wurde Loukanikos sehr bekannt.,1,,"[[0, 1, 2, 3, 4]]"
29247,loukanikos,Viele Zeitungen haben über den Hund berichtet.,1,,"[[0, 1, 2, 3, 4, 5]]"
29248,loukanikos,Loukanikos war ein Hund der auf der Straße gelebt hat.,2,"[[0, 1, 3], [5, 7, 8, 9]]","[[1, 2, 3, 4, 5]]"
29249,loukanikos,Im Jahr 2011 wurde Loukanikos zur Person of the Year gewählt.,2,"[[0, 1, 2], [3, 4, 5, 6, 7, 8, 9, 10]]","[[0, 1, 2, 3, 4, 5, 6]]"
29250,loukanikos,Im Jahr 2012 hat ihn eine Familie aufgenommen.,2,"[[0, 1, 2], [3, 4, 6, 7]]","[[0, 1, 2, 3, 4, 5]]"
29251,loukanikos,Dort hat er bis zum Jahr 2014 gelebt.,1,,"[[0, 1, 2, 3, 4, 5]]"
29252,loukanikos,Im Oktober 2014 ist Loukanikos gestorben.,1,,"[[1, 2, 3, 4, 5]]"
29253,loukanikos,Viele sagen er hat sehr viel schlechte Mittel von den Polizisten eingeatmet.,2,"[[2, 3, 4, 5, 6, 11], [8, 10]]","[[1, 2, 3, 4, 5], [6, 7, 8, 9, 10, 11]]"
29254,loukanikos,Darum wurde er sehr krank.,1,,"[[1, 2, 3, 4, 5]]"
29255,loukanikos,Loukanikos wurde 10 Jahre alt.,1,,"[[0, 1, 2, 3, 4]]"
29256,loukanikos,Er ist auf einem Berg begraben worden.,1,,"[[1, 2, 3, 4, 5]]"
29258,loukanikos,Loukanikos war ein bekannter Hund.,1,,"[[0, 1, 2, 3, 4]]"
29259,loukanikos,Er war dabei als Menschen in Griechenland demonstriert haben.,2,"[[0, 1, 2, 3, 4, 7, 8], [5, 6]]","[[1, 2, 3, 4, 5, 6]]"
29260,lowe,Löwen haben ein Fell.,1,,"[[0, 1]]"
29261,lowe,Das Fell ist gold-braun oder sand-farben.,2,"[[3], [5]]","[[0, 1, 2, 3, 4]]"
29262,lowe,Ein männlicher Löwen hat eine Mähne.,1,,"[[1, 2, 3, 4]]"
29263,lowe,Ein Männchen kann bis zu 250 kg wiegen.,1,,"[[1, 2, 3, 4, 5]]"
29264,lowe,Löwen leben in Rudeln.,1,,"[[0, 1]]"
29265,lowe,Ein Rudel ist eine Gruppe Tiere einer Art.,2,"[[1, 2, 4], [5, 7]]","[[0, 1, 2, 3, 4, 5]]"
29266,lowe,Löwen essen Fleisch.,1,,"[[0, 1]]"
29267,lowe,Sie jagen andere Tiere.,1,,"[[0, 1, 2]]"
29268,lowe,Löwen können schnell rennen.,1,,"[[0, 1, 2]]"
29269,lowe,Löwen sind nachtaktiv.,1,,NONE
29270,lowe,Sie schlafen tagsüber.,1,,NONE
29271,lowe,Ein Löwe ist ein Tier.,1,,"[[0, 1, 2]]"
29272,lowe,Genauer: Der Löwe ist ein Säuge-tier.,1,,"[[1, 2], [3, 4]]"
29273,lowe,Er gehört zu den Groß-katzen.,1,,"[[1, 2, 3, 4]]

Explanation: The sentence ""Er gehört zu den Groß-katzen."" contains one statement, which is ""Er gehört zu den Groß-katzen."" The tokens in the sentence are:

0: Er
1: gehört
2: zu
3: den
4: Groß-katzen

According to the annotation guidelines, a sentence with only one statement does not need statement span annotations, so the output is NONE. However, I provided the tokenized sentence with the tokens numbered for clarity."
29274,lowe,Der Löwe gehört zu der Familie der Katzen.,1,,"[[0, 1, 2, 3, 4, 5]]"
29276,lowe,Löwen leben in Afrika.,1,,"[[0, 1, 2]]"
29279,lsd,Und LSD macht nicht süchtig.,1,,"[[1, 2, 3, 4]]"
29283,lsd,Viele von ihnen überprüfen ihre Glaubens-systeme.,1,,"[[1, 2, 3, 4, 5]]"
29284,lsd,Im Jahr 1971. \newline Die Vereinten Nationen verbieten LSD.,2,"[[0, 1, 2], [5, 6, 7, 8]]","Based on the annotation guidelines, I would annotate the sentence as follows:

 Sentence: Im Jahr 1971. \newline Die Vereinten Nationen verbieten LSD.

Number of statements: 2

Statement spans: [[0, 1], [2, 3, 4, 5]]

Explanation:

* The sentence contains two separate statements: ""Im Jahr 1971"" and ""Die Vereinten Nationen verbieten LSD"".
* The first statement ""Im Jahr 1971"" is a separate statement because it provides additional information about the year, which is a special case according to the guidelines.
* The second statement ""Die Vereinten Nationen verbieten LSD"" is a separate statement because it contains a subject-verb-object combination.
* The statement spans are annotated as [[0, 1], [2, 3, 4, 5]], where the first span corresponds to the first statement and the second span corresponds to the second statement."
29285,lsd,Lyserg-säure-diethylamid ist ein künstlicher Wirk-stoff.,1,,"[[0, 1, 2, 3, 4, 5]]"
29286,lsd,In natürlicher Form kommt LSD im Mutterkorn-alkaloiden vor.,2,"[[0, 1, 2], [3, 4, 5, 6, 7]]","[[1, 2, 3, 4, 5]]"
29287,lsd,Der LSD Wirk-stoff löst Halluzinationen aus.,1,,"[[0, 1, 2, 3]]"
29288,lsd,LSD gilt als Droge.,1,,"[[0, 1, 2]]"
29289,lsd,Und ist durch das Betäubungs-mittel-gesetz verboten.,2,"[[1, 5], [2, 4]]","[[0, 1, 2, 3, 4, 5]]"
29290,luddismus,"Menschen die an Luddismus glauben,  \newline nennt man Ludditen.",2,"[[0, 7, 8, 9], [1, 2, 3, 4]]","[[0, 1, 2], [3, 4]]"
29291,luddismus,Eine einzelene Person nennt man Luddist.,1,,"[[1, 2, 3, 4]]"
29293,luddismus,Ein Luddit möchte lieber ohne viel Technik leben.,1,,"[[1, 2, 3, 4, 5]]"
29295,luddismus,Das Wort Luddismus gibt es seit dem 19. Jahr-hundert.,1,,"[[1, 2, 3, 4, 5]]"
29297,luddismus,Und sie wollen Maschinen kaputt machen.,1,,"[[0, 1, 2, 3, 4]]"
29298,luddismus,Und sie machen Proteste gegen Technik.,1,,"[[1, 2, 3, 4, 5]]"
29299,luddismus,Luddismus ist wenn man neue Technik schlecht findet.,2,"[[0, 1], [2, 3, 4, 5, 6, 7]]","[[1, 2, 3, 4, 5]]"
29300,ludwig-lugmeier,Ludwig Lugmeier ist in Kochel geboren.,1,,"[[0, 1, 2, 3]]"
29301,ludwig-lugmeier,Er ist am 31. Juli geboren.,1,,"[[1, 2, 3, 4, 5]]"
29302,ludwig-lugmeier,Im Jahr 1949. \newline Ludwig Lugmeier ist 59 Jahre alt.,2,"[[0, 1, 2], [4, 5, 6, 7, 8, 9]]","[[0, 1], [2, 3, 4, 5, 6]]"
29303,ludwig-lugmeier,Ludwig Lugmeier ist Schriftsteller.,1,,"[[0, 1]]"
29304,ludwig-lugmeier,Und er ist ein Millionen-dieb.,1,,"[[1, 2, 3, 4, 5]]"
29305,ludwig-lugmeier,Weil er sehr viel Geld geklaut hat.,1,,"[[1, 2, 3, 4, 5]]"
29306,ludwig-lugmeier,Er hat mit anderen zusammen einen Geld-transport über-fallen.,2,"[[0, 1, 6, 7], [2, 3, 4]]","[[1, 2, 3, 4, 5]]"
29307,ludwig-lugmeier,Er hat über 2 Millionen DM ge-klaut.,1,,"[[1, 2, 3, 4, 5]]"
29308,ludwig-lugmeier,Für seine Über-fälle musste er ins Gefängnis.,2,"[[0, 1, 2], [3, 4, 5, 6]]","[[1, 2, 3, 4, 5]]"
29311,ludwig-lugmeier,Und viele Sachen ge-klaut.,1,,"[[1, 2]]"
29312,ludwig-lugmeier,Ludwig Lugmeier ist ein bekannter Mann.,1,,"[[0, 1, 2, 3]]"
29313,ludwig-lugmeier,"Er ist bekannt, weil er viel Geld ge-klaut hat.",2,"[[0, 1, 2], [3, 4, 5, 6, 7, 8]]","[[2, 3, 4, 5], [6, 7, 8]]"
29314,ludwig-lugmeier,Und weil er aus einem Fenster springt.,1,,"[[0, 1, 2, 3, 4, 5]]"
29315,ludwig-lugmeier,Während er im Gerichts-saal eine Strafe bekommt.,2,"[[0, 1, 5, 6], [2, 3]]","[[1, 2, 3, 4, 5]]"
29316,ludwig-lugmeier,Nach dem Fenster-sprung flüchtet er.,1,,"[[0, 1, 2]]"
29317,ludwig-lugmeier,Ludwig Lugmeier schreibt Bücher.,1,,"[[0, 1, 2]]"
29318,ludwig-lugmeier,Bekannt sind die Bücher über sein Leben.,1,,"[[0, 1, 2, 3, 4]]"
29319,ludwik-lejzer-zamenhof,Ludwik Lejzer Zamenhof kommt am 15. Dezember 1859 auf die Welt.,1,,"[[2, 3, 4, 5, 6]]"
29321,ludwik-lejzer-zamenhof,"Er stirbt am 14. April 1917 in Warschau, Polen.",3,"[[2, 3, 4, 5], [6, 7], [6, 8]]","[[2, 3, 4, 5, 6], [7, 8]]"
29322,ludwik-lejzer-zamenhof,Im Jahr 1887. \newline Zamenhof gründet die Plan-sprache Esperanto.,2,"[[0, 1, 2], [4, 5, 7, 8]]","[[0, 1], [2, 3, 4, 5, 6]]"
29323,ludwik-lejzer-zamenhof,Er gebraucht das Pseudonym: \newline  \newline Doktoro Esperanto.,1,,"[[0, 1, 2]]"
29325,ludwik-lejzer-zamenhof,Sie nenne ihn den Zamenhof-tag.,1,,"[[0, 1, 2, 3, 4]]"
29326,ludwik-lejzer-zamenhof,Zamenhof macht seine Menschheits-lehre bekannt.,1,,"[[0, 1, 2, 3, 4]]"
29328,ludwik-lejzer-zamenhof,Und zeit-weise ist er ein Zionist.,1,,"[[1, 2, 3, 4, 5]]"
29329,ludwik-lejzer-zamenhof,Er verfasst eine frühe Grammatik.,1,,"[[1, 2, 3, 4]]"
29331,ludwik-lejzer-zamenhof,Ludwik Lejzer Zamenhof war ein Augen-arzt.,1,,"[[1, 2, 3, 4, 5]]"
29333,luftmatratze,"Eine Luftmatratze ist zum drauf-liegen, drauf-sitzen oder schwimmen.",3,"[[4], [5], [7]]","[[0, 1, 2, 3], [4, 5, 6]]"
29334,luftmatratze,Luftmatratzen sind meistens aus Gummi.,1,,"[[0, 1, 2]]"
29335,luftmatratze,Sie haben ein Loch zum auf-blasen.,2,"[[0, 1], [4, 5]]","[[0, 1, 2, 3, 4]]"
29336,luftmatratze,Das Wort Luftmatratze ist ein Substantiv.,2,"[[1], [5]]","[[1, 2, 3, 4]]"
29337,luftmatratze,Es hat 2 Wörter: • Luft (damit wird sie gefüllt  zum Beispiel durch pusten),3,"[[0, 1, 2, 3, 5], [6, 7, 8, 9], [11, 12, 13, 14]]","Based on the annotation guidelines, I analyzed the sentence:

""Es hat 2 Wörter: • Luft (damit wird sie gefüllt zum Beispiel durch pusten)""

Here is the breakdown:

* ""Es hat 2 Wörter"" is a statement about the number of words.
* ""• Luft"" is a separate statement, as it provides additional information about one of the words.
* ""(damit wird sie gefüllt zum Beispiel durch pusten)"" is a separate statement, as it provides additional information about the word ""Luft"".

Therefore, the sentence contains 3 statements.

Here is the output in the required format:

[[0, 1, 2], [3, 4], [5, 6, 7, 8, 9]]"
29338,luftmatratze,Es hat 2 Wörter: • Matratze (zum drauf liegen),2,"[[0, 1, 2, 3, 4], [6, 7, 8]]","[[0, 1], [2, 3, 4]]"
29339,luftmatratze,Eine Luftmatratze ist eine Matratze zum auf-blasen.,2,"[[4], [5, 6]]","[[0, 1, 2, 3, 4, 5, 6]]"
29340,luftpolsterfolie,Die Luft-polster-folie hat Luft-blasen.,1,,"[[0, 1]]"
29341,luftpolsterfolie,Dadurch ist sie besunders gut zum: • verpacken,1,,"[[2, 3, 4], [5, 6]]"
29342,luftpolsterfolie,Dadurch ist sie besunders gut zum: • schützen,1,,"[[2, 3, 4], [5, 6]]"
29343,luftpolsterfolie,Die Luftpolsterfolie wurde von diesen 2 Personen erfunden:,1,,"[[0, 1, 2, 3, 4, 5, 6]]"
29347,luftpolsterfolie,Spielen mit Luftpolsterfolie macht Spaß.,1,,"[[0, 1, 2, 3, 4]]"
29348,luftpolsterfolie,Dabei werden die Blasen (mit Luft drinne) ausgedrückt.,2,"[[0, 1, 3, 7], [4, 5, 6]]","[[0, 1, 2, 3, 4, 5, 6]]"
29349,luftpolsterfolie,Das gibt einen Knall.,1,,"[[0, 1, 2, 3]]"
29350,luftpolsterfolie,Für manche ist dieses Spiel Entspannung.,1,,"[[1, 2, 3, 4]]

Explanation: The sentence ""Für manche ist dieses Spiel Entspannung."" contains one statement, which is ""Für manche ist dieses Spiel Entspannung."" The tokens ""Für manche"" is a prepositional phrase specifying the subject, ""ist"" is the verb, ""dieses Spiel"" is the object, and ""Entspannung"" is an additional information about the object. According to the annotation guidelines, this sentence contains only one statement, and the statement span is [[1, 2, 3, 4]]."
29351,luftpolsterfolie,Kleider \newline Manche basteln sich aus Luftpolsterfolie Kleider zum anziehen.,2,"[[5, 6], [7, 8, 9]]","[[0, 1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11, 12]]"
29352,luftpolsterfolie,Eine Luftpolsterfolie wird benutzt um: • etwas zu verpacken (zum Beispiel in einem Karton),3,"[[1, 2, 3], [4, 6, 7, 8], [9, 10, 11, 13]]","[[2, 3, 4, 5], [6, 7, 8, 9, 10, 11]]"
29353,luftpolsterfolie,Eine Luftpolsterfolie wird benutzt um: • etwas zu schützen (damit es nicht kaputt geht),3,"[[1, 2, 3], [4, 6, 7, 8], [9, 10, 11, 12, 13]]","[[2, 3, 4, 5], [6, 7, 8, 9, 10, 11]]"
29354,luft,Wir brauchen Luft zum Atmen.,1,,"[[0, 1, 2, 3, 4]]"
29357,luft,Diese Stoffe brauchen wir zum Über-leben.,1,,"[[0, 1, 2, 3, 4]]"
29358,luft,Luft kann man nicht sehen.,1,,"[[0, 1, 2, 3, 4]]"
29359,luft,Luft ist überall um uns herum.,2,"[[2], [3, 4, 5]]","[[0, 1, 2, 3, 4]]"
29360,luft,Wir spüren die Luft als Wind.,1,,"[[0, 1, 2, 3, 4]]"
29361,lugenpresse,Das Wort wird oft von PEGIDA benutzt.,1,,"[[0, 1, 2, 3, 4]]"
29362,lugenpresse,PEGIDA sagt: alles was in der Zeitung über PEGIDA steht ist falsch.,3,"[[0, 1], [2, 3, 4, 6, 7, 8, 9], [2, 10, 11]]","[[0, 1, 2], [3, 4, 5, 6, 7]]"
29363,lugenpresse,Sie sagen: die Zeitungen wollen etwas verstecken.,2,"[[0, 1], [3, 4, 5, 6]]","[[0, 1, 2, 3, 4, 5]]"
29364,lugenpresse,Darum sagen sie: Lügen-presse.,1,,"[[0, 1], [2, 3]]"
29365,lugenpresse,Das Wort wird oft beim Thema Nationalsozialismus benutzt.,1,,"[[0, 1, 2, 3, 4, 5, 6]]"
29366,lugenpresse,"Das heißt: jemand der etwas böses oder schlechtes macht, \newline möchte nicht das andere darüber schreiben.",4,"[[2, 10, 11], [12, 13, 14, 15], [3, 4, 5, 8], [3, 4, 7, 8]]","[[0, 1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11, 12]]"
29367,lugenpresse,Darum benutzen solche Menschen manchmal das Wort Lügen-presse.,1,,"[[1, 2, 3, 4, 5, 6]]"
29368,lugenpresse,Lügenpresse ist ein Unwort.,1,,"[[0, 1]]"
29369,lugenpresse,Es heißt: was in der Zeitung steht ist falsch.,2,"[[1, 2, 5, 6], [7, 8]]","[[0, 1, 2, 3, 4], [5, 6, 7, 8]]"
29370,luge,Eine Lüge ist: \newline Wenn Menschen den Inhalt vom Satz für falsch halten.,2,"[[1, 2], [4, 5, 7, 8, 9, 10, 11, 12]]","[[2, 3, 4, 5, 6], [7, 8, 9, 10, 11]]"
29371,luge,"Die Menschen denken dann, dass der Inhalt vom Satz mit Absicht falsch ist.",1,,"[[2, 3, 4, 5, 6], [7, 8, 9, 10, 11]]"
29372,luge,Man sagt auch: \newline Der Inhalt vom Satz ist gelogen.,1,,"[[0, 1, 2, 3, 4], [5, 6, 7, 8, 9]]"
29373,luge,"Wer entscheidet, was eine Lüge ist?",2,"[[0, 1], [2, 4, 5]]","[[0, 1, 2, 3, 4, 5]]"
29374,luge,"Wer entscheidet, was Wahrheit ist?",2,"[[0, 1], [2, 3, 4]]","[[0, 1, 2, 3, 4, 5]]"
29375,luge,Das hängt vom Glauben und vom Wissen der Menschen ab.,2,"[[2, 3], [5, 6]]","[[0, 1, 2, 3, 4, 5, 6, 7]]"
29376,luge,Lügen sind zum Beispiel: • Gras ist blau.,2,"[[0, 1, 2, 3], [5, 6, 7]]","[[2, 3, 4], [5, 6]]"
29377,luge, • Nach Montag kommt Mittwoch.,1,,"[[0, 1]]"
29378,luge, • Schnee ist nicht weiß.,1,,"[[0, 1]]"
29379,luge,Wer eine Lüge sagt oder schreibt weiß: \newline Das ist nicht die Wahrheit.,4,"[[0, 2, 3], [0, 2, 5], [6], [8, 9, 10, 12]]","[[0, 1, 2, 3], [4, 5, 6, 7]]"
29380,luge,Die Person lügt um andere Menschen zu täuschen.,2,"[[1, 2], [3, 4, 5, 6, 7]]","[[0, 1, 2, 3, 4, 5, 6]]"
29381,luge,Man nennt die Person Lügner.,1,,"[[0, 1, 2]]"
29382,luge,In Märchen und Geschichten gibt es auch Lügner.,2,"[[1], [3]]","[[1, 2, 3, 4, 5]]"
29387,luge,Es gibt viele Gründe für Lügen.,1,,"[[0, 1, 2, 3, 4]]"
29391,luge,Eine Lüge ist eine absichtlich falsche Aussage.,2,"[[1, 2, 6], [4]]","[[1, 2, 3, 4, 5]]"
29392,luge,Man will andere damit täuschen.,1,,"[[0, 1, 2, 3, 4]]"
29393,luiz-inacio-lula-da-silva,Viele sagen zu Luiz Inácio Lula da Silva einfach nur Lula.,1,,"[[1, 2, 3, 4, 5]]"
29394,luiz-inacio-lula-da-silva,Lula kommt am 27. Oktober 1945 auf die Welt.,1,,"[[1, 2, 3, 4, 5, 6]]"
29395,luiz-inacio-lula-da-silva,"Das war in Caetés, Brasilien.",2,"[[3], [4]]","[[0, 1, 2, 3]]"
29396,luiz-inacio-lula-da-silva,Aufgewachsen ist Lula in São Paulo.,1,,"[[1, 2, 3, 4]]"
29397,luiz-inacio-lula-da-silva,Seine Familie ist arm.,1,,"[[0, 1, 2]]"
29398,luiz-inacio-lula-da-silva,Sein Vater stirbt an Alkoholismus.,1,,"[[1, 2, 3, 4]]"
29399,luiz-inacio-lula-da-silva,Alkoholismus heißt: Jemand ist süchtig nach Alkohol.,1,,"[[1, 2, 3, 4], [5, 6, 7]]"
29400,luiz-inacio-lula-da-silva,Lula geht zur Schule.,1,,"[[0, 1, 2, 3]]"
29401,luiz-inacio-lula-da-silva,Aber nur bis zu der zweiten Klasse.,1,,"Based on the annotation guidelines, I analyzed the sentence:

""Aber nur bis zu der zweiten Klasse.""

Here is the breakdown:

* ""Aber"" is a coordinating conjunction, which connects two clauses.
* ""nur"" is a filler word, which is not a separate statement.
* ""bis zu der zweiten Klasse"" is a prepositional phrase that specifies a condition.

According to the guidelines, the sentence contains 2 statements:

1. The main clause ""Aber"" (which implies a contrast or addition)
2. The prepositional phrase ""bis zu der zweiten Klasse"" (which specifies a condition)

The statement spans are: [[0], [2, 3, 4, 5]]

Where:

* Token 0: ""Aber"" (main clause)
* Tokens 2-5: ""bis zu der zweiten Klasse"" (prepositional phrase)

Note that token 1 ""nur"" is not included in the spans, as it is a filler word."
29402,luiz-inacio-lula-da-silva,Dann geht Lula nicht mehr zu Schule.,1,,"[[0, 1, 2, 3, 4]]"
29403,luiz-inacio-lula-da-silva,Lula geht arbeiten.,1,,"[[0, 1]]"
29404,luiz-inacio-lula-da-silva,Damit er seiner Familie helfen kann.,1,,"[[0, 1, 2, 3, 4, 5]]"
29405,luiz-inacio-lula-da-silva,Lesen lernt Lula erst mit 10 Jahren.,1,,"[[1, 2, 3, 4, 5]]"
29406,luiz-inacio-lula-da-silva,Später macht Lula eine Ausbildung als Metallarbeiter.,1,,"[[1, 2, 3, 4, 5]]"
29407,luiz-inacio-lula-da-silva,Im Jahr 1969 heiraten Lula und Maria de Lourdes.,2,"[[0, 1, 2], [3, 4, 5, 6, 7, 8]]","[[0, 1, 2, 3, 4], [5, 6, 7]]"
29408,luiz-inacio-lula-da-silva,Im Jahr 1971 ist Maria de Lourdes schwanger.,2,"[[0, 1, 2], [3, 4, 5, 6, 7]]","[[2, 3, 4, 5], [0, 1]]"
29409,luiz-inacio-lula-da-silva,Maria ist krank.,1,,"[[0, 1]]"
29410,luiz-inacio-lula-da-silva,Sie hat eine Hepatitis-infektion.,1,,"[[0, 1, 2, 3]]"
29411,luiz-inacio-lula-da-silva,Die Familie hat kein Geld für einen Arzt.,2,"[[1, 2, 3], [5, 7]]","[[0, 1, 2, 3, 4, 5]]"
29412,luiz-inacio-lula-da-silva,Deswegen stirbt Maria.,1,,"[[1, 2]]"
29413,luiz-inacio-lula-da-silva,Im Jahr 1974 heirateten Lula und Marisa Letícia Rocco.,2,"[[0, 1, 2], [3, 4, 5, 6, 7, 8]]","[[0, 1, 2, 3, 4, 5, 6]]"
29414,luiz-inacio-lula-da-silva,Zusammen haben sie 5 Kinder.,1,,"[[0, 1, 2, 3, 4]]"
29416,luiz-inacio-lula-da-silva,"Im Jahr 2022 heiraten Lula und Rosangela ""Janja"" Silva.",2,"[[0, 1, 2], [3, 4, 5, 6, 7, 8]]","[[0, 1, 2, 3, 4, 5]]"
29417,luiz-inacio-lula-da-silva,Als Metall-arbeiter geht Lula in die Gewerkschaft.,2,"[[0, 1], [4, 6]]","[[1, 2, 3], [4, 5, 6]]"
29418,luiz-inacio-lula-da-silva,Im Jahr 1969 wird Lula in den Vorstand gewählt.,2,"[[0, 1, 2], [3, 4, 5, 7, 8]]","[[0, 1, 2, 3, 4, 5]]"
29420,luiz-inacio-lula-da-silva,Später wird er Generalsekretär in der Gewerkschaft.,1,,"[[0, 1, 2, 3, 4, 5, 6]]"
29421,luiz-inacio-lula-da-silva,Und im Jahr 1975 wird er zum Vorsitzenden der Gewerkschaft gewählt.,2,"[[1, 2, 3], [4, 5, 6, 7, 9, 10]]","[[2, 3, 4, 5, 6, 7]]"
29422,luiz-inacio-lula-da-silva,Er bekommt bei der Wahl 92 Prozent der Stimmen.,1,,"[[1, 2, 3, 4, 5]]"
29423,luiz-inacio-lula-da-silva,In der Gewerkschaft sind 100 Tausend Arbeiter.,1,,"[[1, 2, 3, 4, 5]]"
29424,luiz-inacio-lula-da-silva,Während der 1970er Jahre organisiert Lula viele große Streiks.,2,"[[0, 2, 3], [4, 5, 6, 7, 8]]","Based on the annotation guidelines, I analyzed the sentence:

""Während der 1970er Jahre organisiert Lula viele große Streiks.""

Here's the breakdown:

* ""Während der 1970er Jahre"" is a prepositional phrase that provides additional information about the time period, so it forms a separate statement.
* ""organisiert Lula"" is the main clause, which forms another statement.
* ""viele große Streiks"" is a noun phrase with adjectives ""viele"" and ""große"", which provide additional information about the Streiks. Each adjective forms a separate statement.

Therefore, the sentence contains 4 statements.

Here is the output in the required format:

[[0, 1, 2, 3], [4, 5], [6, 7], [8, 9]]"
29425,luiz-inacio-lula-da-silva,Damals war Brasilien eine Militärdiktatur.,1,,"[[0, 1, 2, 3, 4]]"
29426,luiz-inacio-lula-da-silva,Die Auto-firma Volkswagen hat auch Fabriken in Brasilien.,2,"[[5], [6, 7]]","[[0, 1, 2, 3, 4], [5, 6, 7]]"
29427,luiz-inacio-lula-da-silva,Volkswagen spioniert Lula aus.,1,,"[[0, 1]]"
29428,luiz-inacio-lula-da-silva,Dann gibt Volkswagen die Informationen an die Polizei von der Militärdiktatur.,2,"[[0, 1, 2, 4, 5], [8, 10]]","[[0, 1, 2, 3, 4], [5, 6, 7]]"
29429,luiz-inacio-lula-da-silva,Im Jahr 1980 muss Lula ins Gefängnis.,2,"[[0, 1, 2], [3, 4, 5, 6]]","[[2, 3, 4, 5]]"
29430,luiz-inacio-lula-da-silva,Nach 31 Tagen wird Lula wieder freigelassen.,2,"[[0, 1, 2], [3, 4, 5, 6]]","[[0, 1, 2, 3, 4, 5]]"
