,Unnamed: 0,sent-id,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized,num_statements,statement_spans,english,amr
10,10,10001208,allenthalben,"Wenn etwas oder jemand überall ist, dann heißt \newline: \newline überall",0_short,Ohne_Kategorie,2012-12-27T11:05:09Z,72fb5f8156adf1b638fc9bd1fa6cdbcf,"0:=Wenn 1:=etwas 2:=oder 3:=jemand 4:=überall 5:=ist, 6:= 7:=\newline 8:=sagt 9:=man 10:=dazu: 11:=\newline 12:=allenthalben",3,"[[0, 1, 4, 5], [0, 3, 4, 5], [8, 9, 10, 12]]","If something or someone is everywhere, then \newline: \newline everywhere","['# ::snt If something or someone is everywhere, then \\newline: \\newline everywhere\n(h / have-condition-91\n      :ARG1 (l / line\n            :mod (n / newline)\n            :location (e / everywhere))\n      :ARG2 (b / be-located-at-91\n            :ARG1 (o / or\n                  :op1 (s / something)\n                  :op2 (s2 / someone))\n            :ARG2 e))']"
11,11,10001294,allgemeinbildung,Wichtige Kenntnisse im Leben nennt man auch Allgemeinbildung.,1_short,Ohne_Kategorie|Hurraki:Überarbeiten|Seiten_mit_defekten_Dateilinks,2023-07-28T08:26:23Z,b73298f8dc4c709352374a8a8455ac94,0:=Das 1:=wichtige 2:=Wissen 3:=für 4:=das 5:=Leben 6:=heißt 7:=auch 8:=Allgemeinˑbildung.,3,"[[6, 7, 8], [1], [3, 5]]",Important knowledge in life is also called general education.,['# ::snt Important knowledge in life is also called general education.\n(c / call-01\n      :ARG1 (k / know-01\n            :ARG1 (l / life)\n            :ARG1-of (ii / important-01))\n      :ARG2 (e / educate-01\n            :ARG1-of (g / general-02))\n      :mod (a / also))']
12,12,10001340,alte-welt,"Damit sind Europa, Afrika und Asien gemeint.",1_short,Länder|Seiten_mit_defekten_Dateilinks,2019-07-23T04:59:35Z,48f66906899cc4a9477b6c9e32ff4424,"0:=Es 1:=sind 2:=Europa, 3:=Afrika 4:=und 5:=Asien 6:=gemeint.",3,"[[2], [4], [5]]","This means Europe, Africa and Asia.","['# ::snt This means Europe, Africa and Asia.\n(m / mean-01\n      :ARG1 (t / this)\n      :ARG2 (a / and\n            :op1 (c / continent\n                  :name (n / name\n                        :op1 ""Europe""))\n            :op2 (c2 / continent\n                  :name (n2 / name\n                        :op1 ""Africa""))\n            :op3 (c3 / continent\n                  :name (n3 / name\n                        :op1 ""Asia""))))']"
13,13,10001345,altenburg,Durch Altenburg fließt die Pleiße.,1_long,Städte,2019-03-20T11:00:48Z,ffaa744a207eb843b7f383adcf5da422,0:=Durch 1:=Altenburg 2:=fließt 3:=der 4:=Fluss 5:=Pleisse.,3,"[[5, 2], [4, 2], [0, 1]]",The Pleiße flows through Altenburg.,"['# ::snt The Pleiße flows through Altenburg.\n(f / flow-01\n      :ARG1 (r / river\n            :name (n / name\n                  :op1 ""Puße""))\n      :path (c / city\n            :name (n2 / name\n                  :op1 ""Altenburg"")))']"
14,14,10001360,altenburg,Scatter Fountain ist das einzige Denkmal für das Kartenspiel auf der Welt.,16_long,Städte,2019-03-20T11:00:48Z,ffaa744a207eb843b7f383adcf5da422,0:=Der 1:=Skat-brunnen 2:=ist 3:=das 4:=einzige 5:=Denkmal 6:=auf 7:=der 8:=Welt 9:=für 10:=ein 11:=Karten-spiel.,3,"[[1, 2, 4, 5], [5, 6, 8], [9, 11]]",Scatter Fountain is the only monument to the card game in the world.,"['# ::snt Scatter Fountain is the only monument to the card game in the world.\n(m / monument\n      :mod (o / only)\n      :topic (g / game\n            :mod (c / card))\n      :domain (s / statue\n            :name (n / name\n                  :op1 ""Scatter""\n                  :op2 ""Fountain""))\n      :location (w / world))']"
15,15,10001376,alternative-fur-deutschland,Politiker vieler anderer Parteien sind gegen die Alternative für Deutschland. \newline Weil die Partei falsche Versprechungen gemacht hat.,13_long,Politik|Aus_den_Nachrichten|Partei_in_Deutschland,2016-10-08T08:01:49Z,6275ee07d0785a2da491fbb224064f23,"0:=Viele 1:=Politiker 2:=von 3:=anderen 4:=Parteien 5:=sind 6:=gegen 7:=die 8:=AfD. 9:=\newline 10:=Weil 11:=die 12:=Partei 13:=Versprechen 14:=macht, 15:=die 16:=falsch 17:=sind.",4,"[[0, 1, 5, 6, 8], [1, 2, 3, 4], [10, 12, 13, 14], [15, 16, 17]]",Politicians from many other parties are against the Alternative for Germany. \newline Because the party made false promises.,"['# ::snt Politicians from many other parties are against the Alternative for Germany.\n(o / oppose-01\n      :ARG0 (p / politician\n            :source (p2 / party\n                  :mod (o2 / other)\n                  :quant (m / many)))\n      :ARG1 (p3 / political-party\n            :name (n / name\n                  :op1 ""Alternative""\n                  :op2 ""for""\n                  :op3 ""Germany"")))', '# ::snt \\newline Because the party made false promises.\n(c / cause-01\n      :ARG0 (p / promise-01\n            :ARG0 (p2 / party)\n            :mod (f / false))\n      :ARG1 (l / line\n            :ARG1-of (n / new-01)))']"
16,16,10001436,altestenrat,Beispiel Deutscher Bundestag: \newline Der Ältestenrat erläutert die Tagesordnung des Bundestages.,5_long,Recht_und_Gesetz|Politik|Seiten_mit_defekten_Dateilinks,2015-05-17T14:32:45Z,af28a20dfb151690981ee13d72ce655c,0:=Beispiel 1:=Deutscher 2:=Bundestag: 3:=\newline 4:=Der 5:=Ältestenrat 6:=sagt 7:=im 8:=Bundestag 9:=was 10:=auf 11:=der 12:=Tages-ordnung 13:=steht.,4,"[[0, 1, 2], [5, 6], [7, 8], [9, 10, 12, 13]]",Example German Bundestag: \newline The Council of Elders explains the agenda of the Bundestag.,"['# ::snt Example German Bundestag:\n(e / exemplify-01\n      :ARG0 (g / government-organization\n            :name (n / name\n                  :op1 ""German""\n                  :op2 ""Bundestag"")))', '# ::snt \\newline The Council of Elders explains the agenda of the Bundestag.\n(e / explain-01\n      :ARG0 (o / organization\n            :name (n / name\n                  :op1 ""Council""\n                  :op2 ""of""\n                  :op3 ""Elders""))\n      :ARG1 (a / agenda\n            :poss (p / political-party\n                  :name (n2 / name\n                        :op1 ""Bundestag"")))\n      :mod (n3 / newline))']"
17,17,10001475,altstadt,"Auf diese Weise können Sie sehen, wie die Stadt einst aussah.",11_long,Stadt,2019-05-13T09:38:11Z,48f66906899cc4a9477b6c9e32ff4424,0:=Damit 1:=man 2:=sieht 3:=wie 4:=die 5:=Stadt 6:=früher 7:=ausgesehen 8:=hat.,3,"[[0, 1, 2], [3, 5, 7, 8], [6]]",This way you can see what the city once looked like.,['# ::snt This way you can see what the city once looked like.\n(p / possible-01\n      :ARG1 (s / see-01\n            :ARG0 (y / you)\n            :ARG1 (t / thing\n                  :ARG2-of (l / look-02\n                        :ARG0 (c / city)\n                        :time (o / once))))\n      :manner (w / way\n            :mod (t2 / this)))']
18,18,10001485,altweibersommer,Sie erkennen den Altweibersommer daran: • Die Tage sind warm und sonnig.,3_long,Natur,2013-09-28T11:41:10Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Man 1:=erkennt 2:=den 3:=Altweibersommer 4:=daran: 5:=• 6:=Am 7:=Tag 8:=ist 9:=es 10:=warm 11:=und 12:=die 13:=Sonne 14:=scheint.,3,"[[0, 1, 3, 4], [6, 7, 9, 10], [13, 14]]",You can recognize Indian summer by the following: • The days are warm and sunny.,"['# ::snt You can recognize Indian summer by the following: • The days are warm and sunny.\n(p / possible-01\n      :ARG1 (r / recognize-02\n            :ARG0 (y / you)\n            :ARG1 (d / date-entity\n                  :season (s / summer)\n                  :mod (c / country\n                        :name (n / name\n                              :op1 ""India"")))\n            :ARG2 (t / thing\n                  :ARG1-of (f / follow-04)\n                  :domain (a / and\n                        :op1 (w / warm-07\n                              :ARG1 (d2 / day))\n                        :op2 (s2 / sunny\n                              :domain d2)))))']"
19,19,10001490,altweibersommer,Das Wetter ist in dieser Zeit noch warm und die Sonne scheint oft.,2_short,Natur,2013-09-28T11:41:10Z,eaab3232dd7a824a6a774fd2f2814e47,0:=In 1:=dieser 2:=Zeit 3:=ist 4:=es 5:=aber 6:=noch 7:=sehr 8:=warm 9:= 10:=\newline 11:=und 12:=die 13:=Sonne 14:=scheint 15:=oft.,3,"[[0, 1, 2], [3, 4, 5, 6, 7, 8], [13, 14, 15]]",The weather is still warm at this time and the sun often shines.,['# ::snt The weather is still warm at this time and the sun often shines.\n(a / and\n      :op1 (w / warm-07\n            :ARG1 (w2 / weather)\n            :mod (s / still)\n            :time (t / time\n                  :mod (t2 / this)))\n      :op2 (s2 / shine-01\n            :ARG1 (s3 / sun)\n            :frequency (o / often)))']
20,20,10001492,aluminiumhut,"Das bedeutet: \newline Wenn alles andere fehlschlägt, können Aluminiumkappen helfen (Aluminiumkappen sind sicher)",1_long,Kleider,2013-10-27T07:10:27Z,eaab3232dd7a824a6a774fd2f2814e47,"0:=Das 1:=bedeutet: 2:=\newline 3:=wenn 4:=alles 5:=nichts 6:=mehr 7:=hilft, 8:=dann 9:=hilft 10:=ein 11:=Aluminium-hut 12:=(der 13:=Aluminium-hut 14:=ist 15:=sicher)",3,"[[3, 4, 5, 6, 7], [8, 9, 10, 11], [13, 14, 15]]","This means: \newline If all else fails, aluminum caps can help (aluminum caps are safe)","['# ::snt This means: \\newline If all else fails, aluminum caps can help (aluminum caps are safe)\n(m / mean-01\n      :ARG1 (t / this)\n      :ARG2 (h / have-condition-91\n            :ARG1 (p / possible-01\n                  :ARG1 (h2 / help-01\n                        :ARG0 (c / cap\n                              :consist-of (a / aluminum)))\n                  :ARG1-of (c2 / cause-01\n                        :ARG0 (s / safe-01\n                              :ARG1 c)))\n            :ARG2 (f / fail-01\n                  :ARG1 (a2 / all\n                        :mod (e / else)))))']"
21,21,10001684,an-12-unfall-in-juba,Am 4. November 2015 verunglückte eine AN-12 in Juba.,0_short,Ohne_Kategorie|Hurraki:Überarbeiten|Aus_den_Nachrichten|Seiten_mit_defekten_Dateilinks,2015-11-07T08:34:15Z,48f66906899cc4a9477b6c9e32ff4424,0:=Der 1:=AN-12 2:=Unfall 3:=in 4:=Juba 5:=ist 6:=am 7:=4. 8:=November 9:=2015 10:=gewesen.,3,"[[1], [3, 4], [6, 7, 8, 9]]","On November 4, 2015, an AN-12 crashed in Juba.","['# ::snt On November 4, 2015, an AN-12 crashed in Juba.\n(c / crash-01\n      :ARG1 (a / aircraft-type\n            :name (n / name\n                  :op1 ""AN-12""))\n      :location (c2 / country\n            :name (n2 / name\n                  :op1 ""Juba""))\n      :time (d / date-entity\n            :day 4\n            :month 11\n            :year 2015))']"
22,22,10001687,an-12-unfall-in-juba,Das Flugzeug stürzte kurz nach dem Start ab.,3_short,Ohne_Kategorie|Hurraki:Überarbeiten|Aus_den_Nachrichten|Seiten_mit_defekten_Dateilinks,2015-11-07T08:34:15Z,48f66906899cc4a9477b6c9e32ff4424,0:=Das 1:=Flugzeug 2:=ist 3:=gestartet 4:=und 5:=kurz 6:=danach 7:=ist 8:=es 9:=abgestürzt.,3,"[[2, 3], [5, 6], [7, 8, 9]]",The plane crashed shortly after takeoff.,['# ::snt The plane crashed shortly after takeoff.\n(c / crash-01\n      :ARG1 (p / plane)\n      :time (a / after\n            :op1 (t / take-off-19\n                  :ARG1 p)\n            :ARG1-of (s / short-07)))']
23,23,10001756,anarchismus,"Aber nur \newline, wenn es jeder in der Gruppe möchte.",3_long,Politik|Seiten_mit_defekten_Dateilinks,2016-04-25T17:26:24Z,48f66906899cc4a9477b6c9e32ff4424,"0:=Aber 1:=nur, 2:=\newline 3:=wenn 4:=alle 5:=Menschen 6:=in 7:=einer 8:=Gruppe 9:=das 10:=wollen.",3,"[[0, 1], [3, 4, 5, 9, 10], [6, 8]]",But only \newline if everyone in the group wants it.,['# ::snt But only \\newline if everyone in the group wants it.\n(c / contrast-01\n      :ARG2 (h / have-condition-91\n            :ARG1 (l / line\n                  :mod (o / only))\n            :ARG2 (w / want-01\n                  :ARG0 (e / everyone\n                        :ARG1-of (ii / include-91\n                              :ARG2 (g / group)))\n                  :ARG1 l)))']
24,24,10001761,anarchismus,Menschen im Anarchismus gründen kleine Gemeinschaften.,8_long,Politik|Seiten_mit_defekten_Dateilinks,2016-04-25T17:26:24Z,48f66906899cc4a9477b6c9e32ff4424,0:=Menschen 1:=im 2:=Anarchismus 3:=gründen 4:=kleine 5:=Gemeinschaften.,3,"[[0, 3, 5], [1, 2], [4, 5]]",People in anarchism form small communities.,['# ::snt People in anarchism form small communities.\n(f / form-01\n      :ARG0 (p / person\n            :mod (a / anarchist))\n      :ARG1 (c / community\n            :mod (s / small)))']
25,25,10001767,anarchismus,Jeder soll freiwillig einer Gruppe beitreten können.,14_long,Politik|Seiten_mit_defekten_Dateilinks,2016-04-25T17:26:24Z,48f66906899cc4a9477b6c9e32ff4424,0:=Jeder 1:=soll 2:=freiwillig 3:=in 4:=einer 5:=Gruppe 6:=mit-machen 7:=können.,3,"[[0, 1, 6, 7], [2], [3, 5]]",Everyone should be able to join a group voluntarily.,['# ::snt Everyone should be able to join a group voluntarily.\n(r / recommend-01\n      :ARG1 (p / possible-01\n            :ARG1 (j / join-04\n                  :ARG0 (e / everyone)\n                  :ARG1 (g / group)\n                  :ARG1-of (v / voluntary-02))))']
26,26,10001770,anarchismus,Anarchisten geben gerne etwas von sich selbst auf.,17_long,Politik|Seiten_mit_defekten_Dateilinks,2016-04-25T17:26:24Z,48f66906899cc4a9477b6c9e32ff4424,0:=Menschen 1:=im 2:=Anarchismus 3:=geben 4:=gerne 5:=etwas 6:=von 7:=ihren 8:=eigenen 9:=Sachen 10:=ab.,3,"[[0, 3, 5, 6, 7, 8, 9, 10], [1, 2], [4]]",Anarchists are happy to give up something of themselves.,['# ::snt Anarchists are happy to give up something of themselves.\n(h / happy-01\n      :ARG0 (g / give-up-07\n            :ARG0 (a / anarchist)\n            :ARG1 (s / something\n                  :beneficiary a))\n      :ARG1 a)']
27,27,10001784,anarchismus,Im Anarchismus sind den Menschen diese Dinge besonders wichtig: • Freiheit,31_long,Politik|Seiten_mit_defekten_Dateilinks,2016-04-25T17:26:24Z,48f66906899cc4a9477b6c9e32ff4424,0:=Im 1:=Anarchismus 2:=sind 3:=diese 4:=Sachen 5:=für 6:=die 7:=Menschen 8:=besonders 9:=wichtig: 10:=• 11:=Freiheit,4,"[[0, 1, 2, 3, 4, 9], [5, 6, 7, 9], [8, 9], [11]]","In anarchism, these things are particularly important to people: • Freedom","['# ::snt In anarchism, these things are particularly important to people: • Freedom\n(ii / important-01\n      :ARG1 (t / thing\n            :mod (t2 / this)\n            :example (f / free-04))\n      :ARG2 (p / person)\n      :mod (p2 / particular)\n      :topic (a / anarchist))']"
28,28,10001785,anarchismus,Im Anarchismus sind den Menschen diese Dinge besonders wichtig: • Selbstbestimmung,32_long,Politik|Seiten_mit_defekten_Dateilinks,2016-04-25T17:26:24Z,48f66906899cc4a9477b6c9e32ff4424,0:=Im 1:=Anarchismus 2:=sind 3:=diese 4:=Sachen 5:=für 6:=die 7:=Menschen 8:=besonders 9:=wichtig: 10:=• 11:=Selbstbestimmung,4,"[[0, 1, 2, 3, 4, 9], [5, 6, 7, 9], [8, 9], [11]]","In anarchism, these things are particularly important to people: • Self-determination","['# ::snt In anarchism, these things are particularly important to people: • Self-determination\n(ii / important-01\n      :ARG1 (t / thing\n            :mod (t2 / this)\n            :example (d / decide-01\n                  :ARG1 (s / self)))\n      :ARG2 (p / person)\n      :mod (p2 / particular)\n      :topic (a / anarchist))']"
29,29,10001786,anarchismus,Im Anarchismus sind den Menschen diese Dinge besonders wichtig: • Gleichheit,33_long,Politik|Seiten_mit_defekten_Dateilinks,2016-04-25T17:26:24Z,48f66906899cc4a9477b6c9e32ff4424,0:=Im 1:=Anarchismus 2:=sind 3:=diese 4:=Sachen 5:=für 6:=die 7:=Menschen 8:=besonders 9:=wichtig: 10:=• 11:=Gleichberechtigung,4,"[[0, 1, 2, 3, 4, 9], [5, 6, 7, 9], [8, 9], [11]]","In anarchism, these things are particularly important to people: • Equality","['# ::snt In anarchism, these things are particularly important to people: • Equality\n(ii / important-01\n      :ARG1 (t / thing\n            :mod (t2 / this)\n            :example (e / equal-01))\n      :ARG2 (p / person)\n      :mod (p2 / particular)\n      :location (a / anarchist))']"
30,30,10001787,anarchismus,Im Anarchismus sind den Menschen diese Dinge besonders wichtig: • Selbstverwirklichung,34_long,Politik|Seiten_mit_defekten_Dateilinks,2016-04-25T17:26:24Z,48f66906899cc4a9477b6c9e32ff4424,0:=Im 1:=Anarchismus 2:=sind 3:=diese 4:=Sachen 5:=für 6:=die 7:=Menschen 8:=besonders 9:=wichtig: 10:=• 11:=Selbstverwirklichung,4,"[[0, 1, 2, 3, 4, 9], [5, 6, 7, 9], [8, 9], [11]]","In anarchism, these things are particularly important to people: • Self-realization","['# ::snt In anarchism, these things are particularly important to people: • Self-realization\n(ii / important-01\n      :ARG1 (t / thing\n            :mod (t2 / this)\n            :example (r / realize-01\n                  :ARG0 (p / person)\n                  :ARG1 p))\n      :ARG2 p\n      :mod (p2 / particular)\n      :location (a / anarchist))']"
31,31,10001788,anarchismus,Im Anarchismus sind diese Dinge für die Menschen besonders wichtig: • Dinge selbst herstellen und kontrollieren,35_long,Politik|Seiten_mit_defekten_Dateilinks,2016-04-25T17:26:24Z,48f66906899cc4a9477b6c9e32ff4424,0:=Im 1:=Anarchismus 2:=sind 3:=diese 4:=Sachen 5:=für 6:=die 7:=Menschen 8:=besonders 9:=wichtig: 10:=• 11:=selber 12:=Sachen 13:=zu 14:=machen 15:=und 16:=zu 17:=kontrollieren,5,"[[0, 1, 2, 3, 4, 9], [5, 6, 7, 9], [8, 9], [11, 12, 13, 14], [11, 12, 16, 17]]","In anarchism, these things are particularly important for people: • Making and controlling things yourself","['# ::snt In anarchism, these things are particularly important for people: • Making and controlling things yourself\n(ii / important-01\n      :ARG1 (t / thing\n            :mod (t2 / this)\n            :example (a / and\n                  :op1 (m / make-01\n                        :ARG0 (y / you)\n                        :ARG1 (t3 / thing))\n                  :op2 (c / control-01\n                        :ARG0 y\n                        :ARG1 t3)))\n      :ARG2 (p / person)\n      :mod (p2 / particular)\n      :location (a2 / anarchist))']"
