sent-id,phrase,num_statements,statement_spans,tree,is_sent,big_np_count,big_pp_count
1005,Alcopop ist ein süßes Getränk.,2,"[[0, 1, 4], [3]]",(S (NN Alcopop) (VAFIN ist) (NP (ART ein) (ADJA süßes) (NN Getränk))) ($. .),1,1,0
1006,In diesem Getränk ist Alkohol.,1,,(S (PP (APPR In) (PDAT diesem) (NN Getränk)) (VAFIN ist) (NN Alkohol)) ($. .),1,0,0
1007,Aldous Huxley kommt am 26. Juli 1894 auf die Welt.,1,,(S (PN (NE Aldous) (NE Huxley)) (VVFIN kommt) (PP (APPRART am) (ADJA 26.) (NN Juli) (CARD 1894)) (PP (APPR auf) (ART die) (NN Welt))) ($. .),1,0,1
1009,"In Godalming, Surrey.",0,,"(APPR In) (NE Godalming) ($, ,) (PP (NE Surrey)) ($. .)",0,0,0
1010,"Er stirbt am 22. November 1963. \newline In Los Angeles, USA. \newline  \newline Im Jahr 1932: \newline Huxley schreibt seinen berühmtesten Roman.",0,,(PPER Er) (VVFIN stirbt) (APPRART am) (ADJA 22.) (NN November) ($. 1963.),0,0,0
1011,Den Science-fiction: \newline Schöne neue Welt \newline Es ist eine Dystopie.,0,,(NP (ART Den) (NN Science-fiction)) ($. :) (NE \newline),0,0,0
1012,Aldous Huxley war ein Schrift-steller.,1,,(S (PN (NE Aldous) (NE Huxley)) (VAFIN war) (NP (ART ein) (NN Schrift-steller))) ($. .),1,0,0
1013,Aleppo ist eine sehr alte Stadt.,2,"[[3, 4], [5]]",(S (NE Aleppo) (VAFIN ist) (NP (ART eine) (AP (ADV sehr) (ADJA alte)) (NN Stadt))) ($. .),1,1,0
1014,Menschen haben hier schon 3 Tausend Jahre vor Christus gelebt.,1,,(S (NN Menschen) (VAFIN haben) (VP (ADV hier) (NP (ADV schon) (CARD 3) (NN Tausend) (NN Jahre) (PP (APPR vor) (NN Christus))) (VVPP gelebt))) ($. .),1,1,0
1015,"Im Jahr 2008 haben ungefähr 1,7 Millionen Menschen in Aleppo gewohnt.",2,"[[0, 1, 2], [4, 5, 6]]","(S (PP (APPRART Im) (NN Jahr) (CARD 2008)) (VAFIN haben) (NP (AP (ADJD ungefähr) (NM (CARD 1,7) (NN Millionen))) (NN Menschen)) (VP (PP (APPR in) (NE Aleppo)) (VVPP gewohnt))) ($. .)",1,1,0
1016,Die meisten Menschen in Aleppo sind Araber und Kurden.,2,"[[6], [8]]",(S (NP (ART Die) (PIAT meisten) (NN Menschen) (PP (APPR in) (NE Aleppo))) (VAFIN sind) (CNP (NN Araber) (KON und) (NN Kurden))) ($. .),1,1,0
1017,Das heißt: \newline Die meisten Menschen in Aleppo sind Muslime.,1,,(S (PDS Das) (VVFIN heißt)) ($. :) (NE \newline),1,0,0
1018,In Aleppo gibt es auch Christ.,1,,(S (PP (APPR In) (NE Aleppo)) (VVFIN gibt) (PPER es) (ADV auch) (NN Christ)) ($. .),1,0,0
1019,Ungefähr 15 Prozent der Menschen in Aleppo sind Christen.,1,,(S (NP (AP (ADV Ungefähr) (CARD 15)) (NN Prozent) (NP (ART der) (NN Menschen) (PP (APPR in) (NE Aleppo)))) (VAFIN sind) (NN Christen)) ($. .),1,2,0
1020,Im Jahr 1952 hat ein Architekt neue Straßen geplant.,2,"[[0, 1, 2], [3, 5, 6, 7, 8]]",(S (PP (APPRART Im) (NN Jahr) (CARD 1952)) (VAFIN hat) (NP (ART ein) (NN Architekt)) (VP (NP (ADJA neue) (NN Straßen)) (VVPP geplant))) ($. .),1,0,0
1021,Moderne und breite Straßen.,0,,(CNP (NN Moderne) (KON und) (NP (ADJA breite) (NN Straßen))) ($. .),0,0,0
1022,Ab dem Jahr 1970 waren Bau-arbeiter in der Alt-stadt.,2,"[[0, 1, 2, 3], [5, 6, 7, 8]]",(S (PP (APPR Ab) (ART dem) (NN Jahr) (CARD 1970)) (VAFIN waren) (NN Bau-arbeiter) (PP (APPR in) (ART der) (NN Alt-stadt))) ($. .),1,0,1
1023,Sie haben viele alte Häuser abgerissen.,2,"[[0, 1, 4, 5], [2, 3]]",(S (PPER Sie) (VAFIN haben) (VP (NP (PIAT viele) (ADJA alte) (NN Häuser)) (VVPP abgerissen))) ($. .),1,1,0
1024,"Und neue, moderne Wohn-blöcke gebaut.",2,"[[2], [3]]","(KON Und) (CAP (ADJA neue)) ($, ,) (VP (NP (ADJA moderne) (NN Wohn-blöcke)) (VVPP gebaut)) ($. .)",0,0,0
1025,Im Jahr 1986 hat die UNESCO gesagt: \newline Die Alt-stadt von Aleppo ist jetzt Welt-kultur-erbe.,4,"[[0, 1, 2], [3, 5, 6], [9, 10, 11, 12, 14], [13]]",(S (PP (APPRART Im) (NN Jahr) (CARD 1986)) (VAFIN hat) (NP (ART die) (NE UNESCO)) (VP (VVPP gesagt))) ($. :) (FM \newline),1,0,0
1026,In Syrien ist Bürger-krieg.,1,,(S (PP (APPR In) (NE Syrien)) (VAFIN ist) (NN Bürger-krieg)) ($. .),1,0,0
1028,Viele Stadt-teile sind kaputt.,1,,(S (NP (PIAT Viele) (NN Stadt-teile)) (VAFIN sind) (ADJD kaputt)) ($. .),1,0,0
1029,Viele Bewohner sind geflüchtet.,1,,(S (NP (PIAT Viele) (NN Bewohner)) (VAFIN sind) (VVPP geflüchtet)) ($. .),1,0,0
1030,Aleppo ist eine Stadt in Syrien.,2,"[[0, 1, 3], [4, 5]]",(S (NE Aleppo) (VAFIN ist) (NP (ART eine) (NN Stadt) (PP (APPR in) (NE Syrien)))) ($. .),1,1,0
1031,Aleppo ist die zweit-größte Stadt in Syrien.,2,"[[3, 4], [5, 6]]",(S (NE Aleppo) (VAFIN ist) (NP (ART die) (ADJA zweit-größte) (NN Stadt) (PP (APPR in) (NE Syrien)))) ($. .),1,1,0
1032,Die größte Stadt in Syrien ist Damaskus.,3,"[[5, 6], [1], [3, 4]]",(S (NP (ART Die) (ADJA größte) (NN Stadt) (PP (APPR in) (NE Syrien))) (VAFIN ist) (NE Damaskus)) ($. .),1,1,0
1033,Der Mann Ali ibn Abi Talib ist den Aleviten sehr wichtig.,1,,(S (NP (ART Der) (NN Mann) (PN (NE Ali) (NE ibn) (NE Abi) (NE Talib))) (VAFIN ist) (NP (ART den) (NN Aleviten)) (AP (ADV sehr) (ADJD wichtig))) ($. .),1,1,0
1034,Dieser Mann ist der Schwieger-sohn von Mohammed.,1,,(NP (PDAT Dieser) (NN Mann)) (VAFIN ist) (ART der) (NN Schwieger-sohn) (PP (APPR von) (NE Mohammed)) ($. .),0,0,0
1035,Die Religion der Aleviten ist etwas anders als die der meisten Muslime.,1,,(S (NP (ART Die) (NN Religion) (NP (ART der) (NN Aleviten))) (VAFIN ist) (AVP (ADV etwas) (ADV anders) (NP (KOKOM als) (PDS die) (NP (ART der) (PIAT meisten) (NN Muslime))))) ($. .),1,3,0
1036,Zum Beispiel tragen die meisten alevitischen Frauen kein Kopftuch.,1,,(S (PP (APPRART Zum) (NN Beispiel)) (VVFIN tragen) (NP (ART die) (PIAT meisten) (ADJA alevitischen) (NN Frauen)) (NP (PIAT kein) (NN Kopftuch))) ($. .),1,1,0
1037,Ungefähr ein Drittel der Menschen in der Türkei sind Aleviten.,1,,(S (NP (ADV Ungefähr) (ART ein) (NN Drittel) (NP (ART der) (NN Menschen) (PP (APPR in) (ART der) (NE Türkei)))) (VAFIN sind) (NN Aleviten)) ($. .),1,2,0
1038,Die Aleviten sind eine Religions-gemeinschaft.,1,,(S (NP (ART Die) (NN Aleviten)) (VAFIN sind) (NP (ART eine) (NN Religions-gemeinschaft))) ($. .),1,0,0
1039,Eine Religions-gemeinschaft sind mehrere Menschen.,1,,(S (NP (ART Eine) (NN Religions-gemeinschaft)) (VAFIN sind) (NP (PIAT mehrere) (NN Menschen))) ($. .),1,0,0
1040,Sie haben eine bestimmte Religion.,1,,(S (PPER Sie) (VAFIN haben) (NP (ART eine) (ADJA bestimmte) (NN Religion))) ($. .),1,1,0
1041,Die Religions-gemeinschaft der Aleviten kommt aus der Türkei.,1,,(S (NP (ART Die) (NN Religions-gemeinschaft) (NP (ART der) (NN Aleviten))) (VVFIN kommt) (PP (APPR aus) (ART der) (NE Türkei))) ($. .),1,1,0
1042,Einige Aleviten sehen sich als Muslime.,1,,(S (NP (PIAT Einige) (NN Aleviten)) (VVFIN sehen) (PRF sich) (PP (APPR als) (NN Muslime))) ($. .),1,0,0
1043,Andere Aleviten sehen sich nicht als Muslime.,1,,(S (NP (ADJA Andere) (NN Aleviten)) (VVFIN sehen) (PRF sich) (PTKNEG nicht) (PP (APPR als) (NN Muslime))) ($. .),1,0,0
1044,Er ist auf einen sehr großen Berg geklettert.,2,"[[4, 5], [0, 1, 2, 7]]",(S (PPER Er) (VAFIN ist) (VP (PP (APPR auf) (ART einen) (AP (ADV sehr) (ADJA großen)) (NN Berg)) (VVPP geklettert))) ($. .),1,0,1
1045,Der Berg heißt: El Capitan.,1,,(S (NP (ART Der) (NN Berg)) (VVFIN heißt)) ($. :) (PN (NE El) (NE Capitan)) ($. .),1,0,0
1046,Die Kletter-route ist fast 1000 Meter lang.,1,,(S (NP (ART Die) (NN Kletter-route)) (VAFIN ist) (AP (NP (AP (ADV fast) (CARD 1000)) (NN Meter)) (ADJD lang))) ($. .),1,1,0
1047,Über Alex Honnold gibt es einen Film.,1,,(S (PP (APPR Über) (PN (NE Alex) (NE Honnold))) (VVFIN gibt) (PPER es) (NP (ART einen) (NN Film))) ($. .),1,0,0
1048,Er heißt: Free Solo.,1,,(S (PPER Er) (VVFIN heißt)) ($. :) (PN (FM Free) (FM Solo)) ($. .),1,0,0
1049,Alex Honnold ist ein bekannter Free Solo Kletterer.,2,"[[4], [5, 6, 7]]",(S (PN (NE Alex) (NE Honnold)) (VAFIN ist) (NP (ART ein) (ADJA bekannter) (FM Free) (FM Solo) (NN Kletterer))) ($. .),1,1,0
1050,Er ist am 17. August 1985 geboren.,1,,(S (PPER Er) (VAFIN ist) (VP (PP (APPRART am) (ADJA 17.) (NN August) (CARD 1985)) (VVPP geboren))) ($. .),1,0,1
1051,In den USA.,0,,(PP (APPR In) (ART den) (NE USA)) ($. .),0,0,0
1052,Alexander Graham Bell kommt am 3. März 1847 auf die Welt.,1,,(S (PN (NE Alexander) (NE Graham) (NE Bell)) (VVFIN kommt) (PP (APPRART am) (ADJA 3.) (NN März) (CARD 1847)) (PP (APPR auf) (ART die) (NN Welt))) ($. .),1,0,1
1053,"In Edinburgh, Schottland.",0,,"(APPR In) (NE Edinburgh) ($, ,) (PP (NE Schottland)) ($. .)",0,0,0
1054,"Er stirbt am 2. August 1922. \newline In Baddeck, Kanada.",3,"[[2, 3, 4, 5], [7, 8], [9]]",(PPER Er) (VVFIN stirbt) (APPRART am) (ADJA 2.) (NN August) ($. 1922.),0,0,0
1055,Der Groß-vater von Alexander Graham Bell hat sich mit Sprech-technik beschäftigt.,1,,(S (NP (ART Der) (NN Groß-vater) (PP (APPR von) (PN (NE Alexander) (NE Graham) (NE Bell)))) (VAFIN hat) (VP (PRF sich) (PP (APPR mit) (NN Sprech-technik)) (VVPP beschäftigt))) ($. .),1,1,1
1056,Der Vater von Bell heißt Alexander Melville Bell.,1,,(S (NP (ART Der) (NN Vater) (PP (APPR von) (NE Bell))) (VVFIN heißt) (PN (NE Alexander) (NE Melville) (NE Bell))) ($. .),1,1,0
1057,Der Vater von Bell war Professor für Rede-kunst und Vortrags-kunst.,3,"[[0, 1, 2, 3, 4], [6, 7], [6, 9]]",(S (NP (ART Der) (NN Vater) (PP (APPR von) (NE Bell))) (VAFIN war) (NP (NN Professor) (PP (APPR für) (CNP (NN Rede-kunst) (KON und) (NN Vortrags-kunst))))) ($. .),1,2,1
1058,Der Vater hat eine Laut-schrift erfunden.,1,,(S (NP (ART Der) (NN Vater)) (VAFIN hat) (VP (NP (ART eine) (NN Laut-schrift)) (VVPP erfunden))) ($. .),1,0,0
1059,Die Laut-schrift heißt Visible Speech.,1,,(S (NP (ART Die) (NN Laut-schrift)) (VVFIN heißt) (CH (FM Visible) (FM Speech))) ($. .),1,0,0
1060,Die Mutter von Bell heißt Eliza Symonds Bell.,1,,(S (NP (ART Die) (NN Mutter) (PP (APPR von) (NE Bell))) (VVFIN heißt) (PN (NE Eliza) (NE Symonds) (NE Bell))) ($. .),1,1,0
1061,Die Mutter war stark schwerhörig.,1,,(S (NP (ART Die) (NN Mutter)) (VAFIN war) (AP (ADJD stark) (ADJD schwerhörig))) ($. .),1,0,0
1062,Bell hat mit ihr mit einer tiefen Stimme gesprochen.,1,,(S (NE Bell) (VAFIN hat) (VP (PP (APPR mit) (PPER ihr)) (PP (APPR mit) (ART einer) (ADJA tiefen) (NN Stimme)) (VVPP gesprochen))) ($. .),1,0,1
1063,Dann konnte sie ihn besser hören.,1,,(S (ADV Dann) (VMFIN konnte) (PPER sie) (VP (PPER ihn) (ADJD besser) (VVINF hören))) ($. .),1,0,0
1064,Bell studiert in Edinburgh.,1,,(S (NE Bell) (VVFIN studiert) (PP (APPR in) (NE Edinburgh))) ($. .),1,0,0
1065,Er studiert die Fächer Latein und Griechisch.,2,"[[4], [6]]",(S (PPER Er) (VVFIN studiert) (NP (ART die) (NN Fächer) (CNP (NN Latein) (KON und) (NN Griechisch)))) ($. .),1,1,0
1066,Mit 17 Jahren wird Bell Lehrer.,2,"[[0, 1, 2], [3, 4, 5]]",(S (PP (APPR Mit) (CARD 17) (NN Jahren)) (VAFIN wird) (NE Bell) (NN Lehrer)) ($. .),1,0,0
1067,An der einer Schule für Sprech-technik und Musik.,0,,(PP (APPR An) (PDS der) (NP (ART einer) (NN Schule) (PP (APPR für) (CNP (NN Sprech-technik) (KON und) (NN Musik))))) ($. .),0,1,2
1068,In seiner Freizeit forscht er.,1,,(S (PP (APPR In) (PPOSAT seiner) (NN Freizeit)) (VVFIN forscht) (PPER er)) ($. .),1,0,0
1069,Er forscht zum Thema Akustik.,1,,(S (PPER Er) (VVFIN forscht) (PP (APPRART zum) (NN Thema) (NN Akustik))) ($. .),1,0,0
1070,Sein Vater unterrichtet in einer Universität in London.,2,"[[3, 5], [6, 7]]",(S (NP (PPOSAT Sein) (NN Vater)) (VVFIN unterrichtet) (PP (APPR in) (ART einer) (NN Universität) (PP (APPR in) (NE London)))) ($. .),1,0,1
1071,Dort ist er Dozent für Sprach-technik.,1,,(S (ADV Dort) (VAFIN ist) (PPER er) (NP (NN Dozent) (PP (APPR für) (NN Sprach-technik)))) ($. .),1,1,0
1072,Er stellt seinen Sohn als Assistenten ein.,2,"[[2, 3], [4, 5]]",(S (PPER Er) (VVFIN stellt) (NP (PPOSAT seinen) (NN Sohn)) (PP (APPR als) (NN Assistenten)) (PTKVZ ein)) ($. .),1,0,0
1073,Seit dem Jahr 1868 gibt Alexander Graham Bell Sprech-unterricht.,2,"[[0, 2, 3], [4, 5, 6, 7, 8]]",(S (PP (APPR Seit) (ART dem) (NN Jahr) (CARD 1868)) (VVFIN gibt) (PN (NE Alexander) (NE Graham) (NE Bell)) (NN Sprech-unterricht)) ($. .),1,0,1
1074,Für gehörlose Kinder.,0,,(PP (APPR Für) (ADJA gehörlose) (NN Kinder)) ($. .),0,0,0
1075,Alexander Graham Bell studiert bist zum Jahr 1870. \newline Er studiert alles über die menschlichen Stimme.,0,,(S (PN (NE Alexander) (NE Graham) (NE Bell)) (VP (VVPP studiert)) (VAFIN bist) (APPRART zum) (NN Jahr)) ($. 1870.),1,0,0
1076,Im Jahr 1870 zieht die Familie Bell nach Kanada.,2,"[[0, 1, 2], [3, 5, 6, 7, 8]]",(S (PP (APPRART Im) (NN Jahr) (CARD 1870)) (VVFIN zieht) (NP (ART die) (NN Familie) (NE Bell)) (PP (APPR nach) (NE Kanada))) ($. .),1,1,0
1077,Im Jahr 1871 wird Bell Gehörlosenlehrer.,2,"[[0, 1, 2], [3, 4, 5]]",(S (PP (APPRART Im) (NN Jahr) (CARD 1871)) (VAFIN wird) (NE Bell) (NN Gehörlosenlehrer)) ($. .),1,0,0
1078,"An der Clarke School in Northampton, Massachusetts.",0,,"(APPR An) (ART der) (PN (NE Clarke) (NE School)) (APPR in) (NE Northampton) ($, ,) (PP (PP (NE Massachusetts))) ($. .)",0,0,0
1079,Vom Jahr 1873 bis zum Jahr 1877 ist Bell Professor.,2,"[[0, 1, 2], [3, 4, 5, 6]]",(S (PP (APPRART Vom) (NN Jahr) (CARD 1873)) (PP (APPR bis) (APPRART zum) (NN Jahr) (CARD 1877)) (VAFIN ist) (NE Bell) (NN Professor)) ($. .),1,0,1
1080,Er ist Professor für Sprech-technik und Physiologie der Stimme.,2,"[[4], [6, 8]]",(S (PPER Er) (VAFIN ist) (NP (NN Professor) (PP (APPR für) (CNP (NN Sprech-technik) (KON und) (NP (NN Physiologie) (NP (ART der) (NN Stimme))))))) ($. .),1,2,1
1081,An der Universität Boston.,0,,(PP (APPR An) (ART der) (NN Universität) (NE Boston)) ($. .),0,0,1
1083,Sie haben sich an der Clarke School kennen gelernt.,1,,(S (PPER Sie) (VAFIN haben) (VP (VP (PRF sich) (PP (APPR an) (ART der) (PN (NE Clarke) (NE School))) (VVINF kennen)) (VVPP gelernt))) ($. .),1,0,1
1085,Alexander Graham Bell ist einer der Erfinder vom Telefon.,1,,(S (PN (NE Alexander) (NE Graham) (NE Bell)) (VAFIN ist) (NP (PIS einer) (NP (ART der) (NN Erfinder) (PP (APPRART vom) (NN Telefon))))) ($. .),1,2,0
1086,Alexander Graham Bell war ein Sprach-lehrer für Gehörlose.,1,,(S (PN (NE Alexander) (NE Graham) (NE Bell)) (VAFIN war) (NP (ART ein) (NN Sprach-lehrer) (PP (APPR für) (NN Gehörlose)))) ($. .),1,1,0
1087,Alexander Mitscherlich kommt am 20. September 1908 auf die Welt.,1,,(S (PN (NE Alexander) (NE Mitscherlich)) (VVFIN kommt) (PP (APPRART am) (ADJA 20.) (NN September) (CARD 1908)) (PP (APPR auf) (ART die) (NN Welt))) ($. .),1,0,1
1088,"In München, Deutschland.",0,,"(APPR In) (NE München) ($, ,) (PP (NE Deutschland)) ($. .)",0,0,0
1089,"Er stirbt am 26. Juni 1982. \newline In Frankfurt am Main, Deutschland.",3,"[[2, 3, 4, 5], [7, 8, 9, 10], [7, 11]]",(PPER Er) (VVFIN stirbt) (APPRART am) (ADJA 26.) (NN Juni) ($. 1982.),0,0,0
1090,Alexander Mitscherlich war ein: • Arzt,1,,(S (PN (NE Alexander) (NE Mitscherlich)) (VAFIN war) (ART ein)) ($. :) (XY •) (NP (NN Arzt)),1,0,0
1091,Alexander Mitscherlich war ein: • Psychoanalytiker,1,,(S (PN (NE Alexander) (NE Mitscherlich)) (VAFIN war) (ART ein)) ($. :) ($LRB •) (NP (NN Psychoanalytiker)),1,0,0
1092,Alexander Mitscherlich war ein: • Hochschul-lehrer,1,,(S (PN (NE Alexander) (NE Mitscherlich)) (VAFIN war) (ART ein)) ($. :) ($LRB •) (NP (NN Hochschul-lehrer)),1,0,0
1093,Alexander Mitscherlich war ein: • Schriftsteller,1,,(S (PN (NE Alexander) (NE Mitscherlich)) (VAFIN war) (ART ein)) ($. :) (XY •) (NP (NN Schriftsteller)),1,0,0
1094,Sein bekanntestes Buch heißt:,1,,(S (NP (PPOSAT Sein) (ADJA bekanntestes) (NN Buch)) (VVFIN heißt)) ($. :),1,1,0
1095,Die Unfähigkeit zu trauern,0,,(NP (ART Die) (NN Unfähigkeit) (VZ (PTKZU zu) (VVINF trauern))),0,1,0
1096,Das Buch hat er zusammen mit seiner Frau Margarete Mitscherlich geschrieben.,3,"[[1, 2, 10], [4, 5, 6, 7], [7, 8, 9]]",(S (NP (ART Das) (NN Buch)) (VAFIN hat) (PPER er) (VP (PP (ADV zusammen) (APPR mit) (PPOSAT seiner) (NN Frau) (PN (NE Margarete) (NE Mitscherlich))) (VVPP geschrieben))) ($. .),1,0,1
1097,Alexander Sergejewitsch Puschkin kommt am 6. Juni 1799 auf die Welt.,1,,(S (PN (NE Alexander) (NE Sergejewitsch) (NE Puschkin)) (VVFIN kommt) (PP (APPRART am) (ADJA 6.) (NN Juni) (CARD 1799)) (PP (APPR auf) (ART die) (NN Welt))) ($. .),1,0,1
1098,"In Moskau, Russland.",0,,"(APPR In) (NE Moskau) ($, ,) (PP (NE Russland)) ($. .)",0,0,0
1099,"Er stirbt am  10. Februar 1837. \newline In Sankt Petersburg, Russland.",3,"[[2, 3, 4, 5, 6], [8, 9, 10], [8, 11]]",(S (PPER Er) (VVFIN stirbt) (PTKA am)),1,0,0
1100,Alexander Sergejewitsch Puschkin ist ein: \newline Schrift-steller \newline Dichter,2,"[[6], [8]]",(S (PN (NE Alexander) (NE Sergejewitsch) (NE Puschkin)) (VAFIN ist) (ART ein)) ($. :) (NE \newline),1,0,0
1101,Alexander Sutherland Neill  kommt am 17. Oktober 1883 auf die Welt.,1,,(S (PN (NE Alexander) (NE Sutherland) (NE Neill)) (VVFIN  ) (VVFIN kommt) (PP (APPRART am) (ADJA 17.) (NN Oktober) (CARD 1883)) (PP (APPR auf) (ART die) (NN Welt))) ($. .),1,0,1
1102,"In Forfar, Schottland.",0,,"(APPR In) (NE Forfar) ($, ,) (PP (NE Schottland)) ($. .)",0,0,0
1103,"Er stirbt am 23. September 1973. \newline In Aldeburgh, Suffolk, England.",3,"[[2, 3, 4, 5], [7, 8, 9], [7, 10]]",(PPER Er) (VVFIN stirbt) (APPRART am) (ADJA 23.) (NN September) ($. 1973.),0,0,0
1104,Alexander Sutherland Neill war ein Pädagoge.,1,,(S (PN (NE Alexander) (NE Sutherland) (NE Neill)) (VAFIN war) (NP (ART ein) (NN Pädagoge))) ($. .),1,0,0
1105,Er hat die Summerhill Schule geründet.,1,,(S (PPER Er) (VAFIN hat) (VP (NP (ART die) (NE Summerhill) (NN Schule)) (VVPP geründet))) ($. .),1,1,0
1106,Im Jahr 2012 hat er eine neue Richtung der Kunst erfunden.,2,"[[0, 1, 2], [3, 4, 6, 7, 8, 9, 10]]",(S (PP (APPRART Im) (NN Jahr) (CARD 2012)) (VAFIN hat) (PPER er) (VP (NP (ART eine) (ADJA neue) (NN Richtung) (NP (ART der) (NN Kunst))) (VVPP erfunden))) ($. .),1,1,0
1108,Diese Kunst ist bei vielen Menschen beliebt.,1,,(S (NP (PDAT Diese) (NN Kunst)) (VAFIN ist) (PP (APPR bei) (PIAT vielen) (NN Menschen)) (ADJD beliebt)) ($. .),1,0,0
1109,Er ist ein Künstler aus Russland.,2,"[[3], [4, 5]]",(S (PPER Er) (VAFIN ist) (NP (ART ein) (NN Künstler) (PP (APPR aus) (NE Russland)))) ($. .),1,1,0
1110,Ein Algo-rithmus löst eine Aufgabe Schritt für Schritt.,2,"[[1, 2, 4], [5, 6, 7]]",(S (NP (ART Ein) (NN Algo-rithmus)) (VVFIN löst) (NP (ART eine) (NN Aufgabe)) (NP (NN Schritt) (PP (APPR für) (NN Schritt)))) ($. .),1,1,0
1111,Das Gegenteil von einem Algorithmus ist eine Heuristik.,1,,(S (NP (ART Das) (NN Gegenteil) (PP (APPR von) (ART einem) (NN Algorithmus))) (VAFIN ist) (NP (ART eine) (NN Heuristik))) ($. .),1,1,0
1112,Ein Algorithmus ist eine Reihen-folge.,1,,(S (NP (ART Ein) (NN Algorithmus)) (VAFIN ist) (NP (ART eine) (NN Reihen-folge))) ($. .),1,0,0
1113,Mit einem Algo-rithmus kann man Probleme lösen.,1,,(S (PP (APPR Mit) (ART einem) (NN Algo-rithmus)) (VMFIN kann) (PIS man) (VP (NN Probleme) (VVINF lösen))) ($. .),1,0,0
1116,"In Piotrków Trybunalski, Polen.",0,,"(APPR In) (PN (NE Piotrków) (NE Trybunalski)) ($, ,) (PP (NE Polen)) ($. .)",0,0,0
1117,"Sie stirbt am 14. April 2010. \newline In Saint-Rémy-de-Provence, Provence-Alpes-Côte d'Azur, Frankreich.",4,"[[2, 3, 4, 5], [7, 8], [7, 9, 10], [7, 11]]",(PPER Sie) (VVFIN stirbt) (APPRART am) (ADJA 14.) (NN April) ($. 2010.),0,0,0
1118,Millers Bücher kann man leichter verstehen.,1,,(S (NP (NE Millers) (NN Bücher)) (VMFIN kann) (PIS man) (ADJD leichter) (VP (VVINF verstehen))) ($. .),1,0,0
1119,Sie beschreibt Kind-Eltern-Beziehung.,0,,(S (PPER Sie) (VVFIN beschreibt) (NN Kind-Eltern-Beziehung)) ($. .),1,0,0
1120,Und kritisiert die Psychoanalyse.,1,,(S (KON Und) (VVFIN kritisiert) (NP (ART die) (NN Psychoanalyse))) ($. .),1,0,0
