sent-id,topic,phrase,num_statements,LLAMA predictions
29397,luiz-inacio-lula-da-silva,Seine Familie ist arm.,1,1
29398,luiz-inacio-lula-da-silva,Sein Vater stirbt an Alkoholismus.,1,1
29399,luiz-inacio-lula-da-silva,Alkoholismus heißt: Jemand ist süchtig nach Alkohol.,1,1
29400,luiz-inacio-lula-da-silva,Lula geht zur Schule.,1,1
29401,luiz-inacio-lula-da-silva,Aber nur bis zu der zweiten Klasse.,1,1
29402,luiz-inacio-lula-da-silva,Dann geht Lula nicht mehr zu Schule.,1,1
29403,luiz-inacio-lula-da-silva,Lula geht arbeiten.,1,1
29404,luiz-inacio-lula-da-silva,Damit er seiner Familie helfen kann.,1,1
29405,luiz-inacio-lula-da-silva,Lesen lernt Lula erst mit 10 Jahren.,1,1
29406,luiz-inacio-lula-da-silva,Später macht Lula eine Ausbildung als Metallarbeiter.,1,1
29407,luiz-inacio-lula-da-silva,Im Jahr 1969 heiraten Lula und Maria de Lourdes.,2,1
29408,luiz-inacio-lula-da-silva,Im Jahr 1971 ist Maria de Lourdes schwanger.,2,1
29409,luiz-inacio-lula-da-silva,Maria ist krank.,1,1
29410,luiz-inacio-lula-da-silva,Sie hat eine Hepatitis-infektion.,1,1
29411,luiz-inacio-lula-da-silva,Die Familie hat kein Geld für einen Arzt.,2,1
29412,luiz-inacio-lula-da-silva,Deswegen stirbt Maria.,1,1
29413,luiz-inacio-lula-da-silva,Im Jahr 1974 heirateten Lula und Marisa Letícia Rocco.,2,1
29414,luiz-inacio-lula-da-silva,Zusammen haben sie 5 Kinder.,1,1
29416,luiz-inacio-lula-da-silva,"Im Jahr 2022 heiraten Lula und Rosangela ""Janja"" Silva.",2,1
29417,luiz-inacio-lula-da-silva,Als Metall-arbeiter geht Lula in die Gewerkschaft.,2,1
29418,luiz-inacio-lula-da-silva,Im Jahr 1969 wird Lula in den Vorstand gewählt.,2,1
29420,luiz-inacio-lula-da-silva,Später wird er Generalsekretär in der Gewerkschaft.,1,1
29421,luiz-inacio-lula-da-silva,Und im Jahr 1975 wird er zum Vorsitzenden der Gewerkschaft gewählt.,2,1
29422,luiz-inacio-lula-da-silva,Er bekommt bei der Wahl 92 Prozent der Stimmen.,1,1
29423,luiz-inacio-lula-da-silva,In der Gewerkschaft sind 100 Tausend Arbeiter.,1,1
29424,luiz-inacio-lula-da-silva,Während der 1970er Jahre organisiert Lula viele große Streiks.,2,1
29425,luiz-inacio-lula-da-silva,Damals war Brasilien eine Militärdiktatur.,1,1
29426,luiz-inacio-lula-da-silva,Die Auto-firma Volkswagen hat auch Fabriken in Brasilien.,2,1
29427,luiz-inacio-lula-da-silva,Volkswagen spioniert Lula aus.,1,1
29428,luiz-inacio-lula-da-silva,Dann gibt Volkswagen die Informationen an die Polizei von der Militärdiktatur.,2,1
29429,luiz-inacio-lula-da-silva,Im Jahr 1980 muss Lula ins Gefängnis.,2,1
29430,luiz-inacio-lula-da-silva,Nach 31 Tagen wird Lula wieder freigelassen.,2,1
29431,luiz-inacio-lula-da-silva,Danach tut sich Lula mit anderen Gewerkschaften zusammen.,1,1
29432,luiz-inacio-lula-da-silva,Am 10. Februar 1980 gründen sie eine neue Partei.,2,1
29433,luiz-inacio-lula-da-silva,Die Partei heißt Partido dos Trabalhadores.,1,1
29435,luiz-inacio-lula-da-silva,Die Partei hat 400 Tausend Mitglieder.,1,1
29436,luiz-inacio-lula-da-silva,Im Jahr 1986 ist Wahl in Brasilien.,1,1
29437,luiz-inacio-lula-da-silva,Sehr viele Menschen wählen Lula.,1,1
29438,luiz-inacio-lula-da-silva,Lula wird in den Natrional-kongress gewählt.,1,1
29439,luiz-inacio-lula-da-silva,Er vertritt Bundes-staat São Paulo.,1,1
29440,luiz-inacio-lula-da-silva,"Die Partei PT hilft mit, damit es eine neue Verfassung in Brasilien gibt.",2,1
29441,luiz-inacio-lula-da-silva,Zum Beispiel: In der neuen Verfassung stehen viele Rechte für die Arbeiter.,2,1
29442,luiz-inacio-lula-da-silva,Im Jahr 1989 sind Wahlen in Brasilien.,1,1
29443,luiz-inacio-lula-da-silva,Der Präsident soll gewählt werden.,1,1
29444,luiz-inacio-lula-da-silva,Lula will Präsident werden.,1,1
29445,luiz-inacio-lula-da-silva,Viele Leute in Brasilien finden Lula gut.,1,1
29446,luiz-inacio-lula-da-silva,Manche Leute sagen aber: \newline Lula ist ein Sozialist.,2,2
29447,luiz-inacio-lula-da-silva,Deswegen ist Lula schlecht für die Industrie \newline Und die Banken.,2,2
29449,luiz-inacio-lula-da-silva,Lula wird nicht gewählt.,1,1
29450,luiz-inacio-lula-da-silva,Im Jahr 2002 macht Lula wieder mit bei der Prösidenten-wahl.,2,1
29451,luiz-inacio-lula-da-silva,Er zieht jetzt andere Kleider an.,1,1
29452,luiz-inacio-lula-da-silva,Lula zieht einen Anzug und eine Krawatte an.,2,1
29453,luiz-inacio-lula-da-silva,Er sagt: \newline  \newline Hunger und Armut müssen weg.,3,2
29454,luiz-inacio-lula-da-silva,Und die Menschen brauchen eine bessere Ausbildung.,2,1
29455,luiz-inacio-lula-da-silva,Am 27. Oktober 2002 wird Lula Präsident von Brasilien.,3,1
29456,luiz-inacio-lula-da-silva,Und am 29. Oktober 2006 wird Lula wieder zum Präsidenten gewählt.,2,1
29457,luiz-inacio-lula-da-silva,In Brasilien gibt es eine Verfassung.,1,1
29458,luiz-inacio-lula-da-silva,In der Verfassung steht: \newline Man darf nur 2 mal hintereinander Präsident sein.,3,2
29459,luiz-inacio-lula-da-silva,Deswegen hat Lula bei der Wahl im Jahr 2010 nicht mit gemacht.,2,1
29460,luiz-inacio-lula-da-silva,Die Wahl gewinnt Dilma Rousseff.,1,1
29462,luiz-inacio-lula-da-silva,Seit dem 30. Oktober 2022 ist Lula wieder der Präsident von Brasilien.,3,1
29463,luiz-inacio-lula-da-silva,Luiz Inácio Lula da Silva ist der Präsident von Brasilien.,2,1
29464,luiz-inacio-lula-da-silva,Er ist seit dem 30. Oktober 2022 der Präsident.,1,1
29465,luiz-inacio-lula-da-silva,Er war schon einmal Präsident von Brasilien.,1,1
29466,luiz-inacio-lula-da-silva,Das war vom 1. Januar 2003 bis zum 1. Januar 2011.,2,1
29467,lupe,Mit einer Lupe \newline sieht man Sachen größer.,1,2
29468,lupe,Zum Beispiel kann man einen kleinen Text besser lesen.,2,1
29470,lupe,Es gibt auch Redewendungen mit dem Wort Lupe.,1,1
29474,lupe,"Eine Lupe ist ein Glas, \newline das zum Ver-größern benutzt wird.",2,2
29475,lupe,Zum Beispiel: \newline um einen Text größer zu sehen,2,1
29476,lurker,Das Wort Lurker sagt man im Internet oft als Schimpfwort.,2,1
29477,lurker,"Ein Lurker nimmt, \newline aber gibt nichts.",2,2
29480,lurker,In einer Internet  Tauschbörse macht ein Lurker einen Download.,2,2
29481,lurker,Ein Luker macht in der Tauschbörse keinen Upload.,2,1
29483,lurker,Ein Lurker liest in einem Wiki.,1,1
29484,lurker,Ein Lurker schreibt selbst keine Artikel in einem Wiki.,2,1
29485,lurker,Lurker ist ein englisches Wort.,1,1
29486,lurker,Das Wort wird meistens im Internet benutzt.,1,1
29487,lurker,"Zum Beispiel sind damit Internetbenutzer gemeint, \newline die in einem Forum nur lesen und beobachten.",3,1
29488,lurker,Ein Lurker diskutiert nicht mit.,1,1
29489,lurker,Ein Lurker bleibt lieber versteckt.,1,1
29490,ma-getrank,In eine Maß passt 1 Liter Bier.,1,1
29491,ma-getrank,Besonders bekannt ist die Maß beim Oktoberfest.,2,1
29492,ma-getrank,Eine Maß ist ein sehr großes Glas.,1,1
29494,mac-os-x,Mac OS X gehört der Firma Apple.,1,1
29495,mac-os-x,Mac OS X ist ein Betriebssystem für den Computer.,2,1
29496,mac-os-x,Es funktioniert nur auf Computern der Firma Apple.,1,1
29497,machthaber,Machthaber können auch mehrere Personen sein.,1,1
29498,machthaber,Beispiele für Deutschland: \newline Der Bundeskanzler ist ein Machthaber.,1,2
29499,machthaber,Die Bundesregierung ist ein Machthaber.,1,1
29500,machthaber,Das Wort Machthaber ist nicht immer gut gemeint.,1,1
29501,machthaber,"Die meisten, die das Wort benutzen,  \newline meinen damit einen ""schlechten oder bösen Chef"".",4,2
29502,machthaber,"Ein Machthaber ist jemand, der die Macht hat, ein Chef.",2,2
29504,macht,Macht ist eine Fähigkeit von Menschen.,1,1
29505,macht,Ein Mensch mit Macht beeinflusst andere Menschen.,1,1
29506,macht,Macht ist manchmal gut und manchmal schlecht.,2,2
29507,macht,Das Wort benutzt man bei Politik.,1,1
29508,macht,Menschen haben unterschiedlich viel Macht.,1,1
29509,macke,Jeder Mensch hat eine Macke.,1,1
29510,macke,"Eine Macke kann ein Tick sein, eine Eigenart oder eine Behinderung.",3,3
29511,macke,Viele Menschen haben die-selben Macken.,1,1
29512,macke,Sie unterscheiden sich nicht besonders.,1,1
29513,macke,Manche Menschen haben besondere Macken.,1,1
29514,macke,Eine Macke macht jemand einzigartig.,1,1
29515,macke,"Man kann jemand besonders mögen, weil er eine Macke hat.",2,1
29516,macke,"Je mehr Menschen stolz sind auf ihre Macken,  \newline um so normaler wird es,  \newline eine Macke zu haben.",3,2
29517,macke,Eine Macke ist ein Kratzer oder eine Delle.,2,1
29518,macke,Bei Menschen ist eine Macke eine Besonderheit.,1,1
29519,mac,Der Mac ist eine Art von Computer.,1,1
29520,mac,"Das wird so gesprochen: ""Mäck"".",1,1
29521,mac,Die Firma Apple verkauft die Computer.,1,1
29522,madchenname,Eine Frau hat bei ihrer Geburt den gleichen Nach-namen wie ihre Eltern.,2,1
29523,madchenname,Später heiratet sie vielleicht einen Mann.,1,1
29524,madchenname,Dann bekommt sie meistens den Nach-namen von ihrem Mann.,1,1
29525,madchenname,Ihr alter Nach-name ist dann ihr Mädchen-name.,1,1
29526,madchenname,"Der Mädchen-name ist der Nach-name, den sie als Mädchen hatte.",2,1
29527,madchenname,Der Mädchen-name kann auch eine andere Bedeutung haben.,1,1
29528,madchenname,Manche meinen mit Mädchen-name einen weiblichen Vornamen.,1,1
29529,madchenname,Der Mädchen-name ist der Nach-name von einer Frau.,2,1
29530,madchenname,Bevor sie einen Mann heiratet.,1,1
29531,madonna-kunstlerin,"Madonna wurde am 16. August 1958 in Bay City, USA geboren.",3,1
29532,madonna-kunstlerin,Vom Jahr 1985 bis zum Jahr 1989 war sie mit Sean Penn verheiratet.,2,1
29533,madonna-kunstlerin,Vom 2000 bis zum Jahr 2008 war sie mit Guy Ritchie verheiratet.,2,1
29534,madonna-kunstlerin,Zusammen mit Carlos Leon hat sie eine Tochter.,2,1
29535,madonna-kunstlerin,Sie ist am 14. Oktober 1996 geboren worden.,1,1
29536,madonna-kunstlerin,Sie heißt: Lourdes Maria Ciccone Leon.,1,1
29537,madonna-kunstlerin,Zusammen mit Guy Ritchie hat sie einen Sohn.,2,1
29538,madonna-kunstlerin,Er ist am 11. August 2000 geboren worden.,1,1
29539,madonna-kunstlerin,Er heißt: Rocco John Ciccone Ritchie.,1,1
29540,madonna-kunstlerin,Außerdem hat Madonna 2 Kinder adoptiert.,1,1
29541,madonna-kunstlerin,Die Kinder sind aus Malawi.,1,1
29542,madonna-kunstlerin,Madonna hat 300 Millionen Ton-träger verkauft.,1,1
29543,madonna-kunstlerin,Das heißt: Madonna ist die erfolgreichste Sängerin der Welt.,1,1
29544,madonna-kunstlerin,Seit dem Jahr 1983 gibt es Musik Alben von Madonna.,3,1
29545,madonna-kunstlerin,Alle Alben waren in den Charts.,1,1
29550,madonna-kunstlerin,Madonna ist auch Schauspielerin.,1,1
29551,madonna-kunstlerin,Sie hat in verschiedenen Filmen mitgespielt.,1,1
29558,madonna-kunstlerin,Madonna ist auch Autorin.,1,1
29559,madonna-kunstlerin,Sie hat Kinder-bücher gemacht.,1,1
29563,madonna-kunstlerin,Madonna ist der Name für die Mutter Gottes im Christentum.,3,1
29564,madonna-kunstlerin,Das war über sehr lange Zeit der einzige Gebrauch dieses Namens.,2,1
29565,madonna-kunstlerin,"Als eine Sängerin sich vor einigen Jahren so genannt hat, haben sich viele Christen sehr geärgert.",3,2
29566,madonna-kunstlerin,Aber das hat die Sängerin nicht gestört.,1,1
29567,madonna-kunstlerin,Madonna ist eine Sängerin.,1,1
29568,madonna-kunstlerin,"Sie ist auch eine • Song-schreiberin,",1,1
29569,madonna-kunstlerin,"Sie ist auch eine • Schauspielerin,",1,1
29570,madonna-kunstlerin,"Sie ist auch eine • Autorin,",1,1
29571,madonna-kunstlerin,"Sie ist auch eine • Regisseurin,",1,1
29572,madonna-kunstlerin,Sie ist auch eine • Produzentin,1,1
29573,madonna-kunstlerin,Sie ist auch eine • und Designerin.,1,1
29574,madonna-wortklarung,Madonna kann verschiedene Bedeutungen haben.,1,1
29575,madonna-wortklarung," • Mit Madonna ist Maria, die Mutter von Jesus gemeint: Maria (Mutter Jesu)",4,1
29577,magenknurren,"Magenknurren kann zum Beispiel enstehen,  \newline wenn man einen leeren Magen hat.",2,2
29578,magenknurren,Also wenn wir Hunger haben.,1,1
29579,magenknurren,Die Geräusche entstehen durch die leere Bewegung des Darms.,2,1
29581,magenknurren,"Wenn Luft und Flüssigkeit bewegt werden, gibt es Geräusche.",3,1
29582,magenknurren,Magenknurren ist ein Geräusch aus dem Bauch.,2,1
29583,maghreb,Die Maghreb-staaten sind in Afrika.,1,1
29585,maghreb,Bei den Maghreb-staaten sind manche Sachen gleich.,1,1
29586,maghreb,Zum Beispiel: • die Länder haben alle ein ähnliches Klima,1,1
29587,maghreb,Zum Beispiel: • die Länder liegen am Mittel-meer (außer Mauretanien),2,1
29588,maghreb,Zum Beispiel: • in den Ländern sprechen die Menschen meistens Maghrebinisches Arabisch,1,1
29589,maghreb,Zum Beispiel: • die Länder haben eine ähnliche Geschichte,1,1
29597,maghreb,Mit Maghreb sind 3 Länder zusammen gemeint.,1,1
29604,magnus-carlsen,Magnus Carlsen wurde am 30. November 1990 in geboren.,1,1
29605,magnus-carlsen,"Das war in Tønsberg, Norwegen.",2,1
29606,magnus-carlsen,Magnus Carlsens Vater hat ihm die Spiel-regeln für Schach beigebracht.,1,1
29607,magnus-carlsen,Da war Magnus Carlsen 5 Jahre alt.,1,1
29608,magnus-carlsen,"Seit er 9 Jahre alt ist, \newline macht er bei Schach-Turnieren mit.",2,2
29609,magnus-carlsen,Er hat den Titel: Schach-Großmeister.,1,1
29610,magnus-carlsen,Seit dem 22. November 2013 ist er Schachweltmeister.,2,1
29611,magnus-carlsen,Magnus Carlsen ist einer der besten Schachspieler der Welt.,1,1
29612,magnus-carlsen,Für Schachspieler gibt es eine Weltrangliste.,1,1
29613,magnus-carlsen,Im Februar 2013 hatte er in dieser Liste 2872 Punkte.,3,1
29614,magnus-carlsen,So viele Punkte hat noch niemand vor ihm gehabt.,1,1
29615,magnus-carlsen,Bis dahin hatte Garri Kimowitsch Kasparow die meisten Punkte in der Liste.,1,1
29616,magnus-carlsen,Garri Kasparow hatte im Juli 1999 in dieser Liste 2851 Punkte.,3,1
29617,magnus-carlsen,Magnus Carlsen ist auch ein Model.,1,1
29618,magnus-carlsen,Das heißt er arbeitet auch für die Kleider-Firma G-Star.,2,1
29619,magnus-carlsen,Er zieht die Kleider von der Firma an.,2,1
29620,magnus-carlsen,"So können andere sehen, wie die Kleider aussehen.",2,1
29621,magnus-carlsen,Magnus Carlsen ist ein Schach-spieler.,1,1
29622,mahatma-gandhi,Mahatma Gandhi wurde am 2. Oktober 1869 geboren.,1,1
29623,mahatma-gandhi,"Das war in Porbandar, Indien.",2,1
29624,mahatma-gandhi,Er ist gestorben.,1,1
29626,mahatma-gandhi,Mahatma Gandhi war mit Kasturba Makthaji verheiratet.,1,1
29627,mahatma-gandhi,Zusammen hatten sie 4 Kinder.,1,1
29628,mahatma-gandhi,Sein richtiger Name ist Mohandas Karamchand Gandhi.,1,1
29630,mahatma-gandhi,Die meisten Leute sagen aber Mahatma Gandhi.,1,1
29631,mahatma-gandhi,Sanskrit ist eine indische Sprache.,1,1
29632,mahatma-gandhi,"In Sanskrit heißt Mahatma ""Große Seele"".",2,1
29633,mahatma-gandhi,Nach der Schule ging Mahatma Gandhi nach Großbritannien.,2,1
29634,mahatma-gandhi,In Großbritannien hat er studiert.,1,1
